Advertiser,Campaign,Market,Vendor,Media,Commercial Code,Approved GRPs/000s,Date Aired,Time Aired,Length Aired,Day Aired
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012E,0,11/28/2012,9:47 AM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012E,0,11/28/2012,8:41 PM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0,11/28/2012,11:49 AM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0,11/28/2012,4:20 PM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,0.2,11/28/2012,2:43 PM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.3,11/28/2012,10:47 AM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012E,0.4,11/28/2012,3:14 PM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912A,0.5,11/28/2012,7:18 AM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,0.5,11/28/2012,8:47 AM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,0.5,11/28/2012,7:38 PM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.6,11/28/2012,5:19 PM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.8,11/28/2012,6:49 AM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912A,0.9,11/28/2012,1:42 PM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912A,0.9,11/28/2012,6:17 PM,30,Wednesday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,0.3,11/29/2012,8:41 PM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912A,0.5,11/29/2012,7:40 PM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.5,11/29/2012,5:22 PM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.5,11/29/2012,6:15 PM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012E,0.5,11/29/2012,4:15 PM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912A,0.9,11/29/2012,8:46 AM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,1,11/29/2012,6:45 AM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,1.3,11/29/2012,9:48 AM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,1.3,11/29/2012,3:47 PM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,1.4,11/29/2012,7:47 AM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012E,1.7,11/29/2012,11:42 AM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912A,1.8,11/29/2012,2:43 PM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,1.8,11/29/2012,1:47 PM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,2.1,11/29/2012,12:45 PM,30,Thursday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.2,11/30/2012,7:43 PM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912A,0.3,11/30/2012,8:40 PM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,0.3,11/30/2012,4:20 PM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.5,11/30/2012,6:46 PM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012E,0.5,11/30/2012,5:25 PM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.7,11/30/2012,1:46 PM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012E,0.8,11/30/2012,6:45 AM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912A,1,11/30/2012,9:47 AM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,1,11/30/2012,2:47 PM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912A,1,11/30/2012,3:18 PM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,1.2,11/30/2012,11:43 AM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,1.3,11/30/2012,8:46 AM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012E,1.3,11/30/2012,12:44 PM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,1.4,11/30/2012,7:18 AM,30,Friday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,0,12/1/2012,9:40 PM,30,Saturday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912A,0.1,12/1/2012,8:39 PM,30,Saturday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.2,12/1/2012,6:41 PM,30,Saturday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.3,12/1/2012,1:24 PM,30,Saturday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.4,12/1/2012,12:43 PM,30,Saturday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012E,0.4,12/1/2012,5:44 PM,30,Saturday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS2012A,0.7,12/1/2012,7:43 PM,30,Saturday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,0.9,12/1/2012,4:45 PM,30,Saturday
Conn's,12 Radio EM December,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNS112912B,1,12/1/2012,10:19 AM,30,Saturday
