Advertiser,Campaign,Market,Vendor,Media,Commercial Code,Approved GRPs/000s,Date Aired,Time Aired,Length Aired,Day Aired
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.2,10/31/2012,9:47 AM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.2,10/31/2012,8:39 PM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.2,10/31/2012,11:43 AM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.2,10/31/2012,4:57 PM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.3,10/31/2012,7:43 PM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.5,10/31/2012,6:47 AM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.5,10/31/2012,7:45 AM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.6,10/31/2012,8:17 AM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.6,10/31/2012,2:16 PM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.6,10/31/2012,3:16 PM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.6,10/31/2012,5:44 PM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.7,10/31/2012,1:17 PM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.7,10/31/2012,6:45 PM,30,Wednesday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.5,11/1/2012,7:38 PM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.6,11/1/2012,4:47 PM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.6,11/1/2012,6:39 PM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.7,11/1/2012,8:38 PM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.8,11/1/2012,5:46 PM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1,11/1/2012,8:45 AM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1.1,11/1/2012,6:43 AM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1.1,11/1/2012,9:43 AM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1.5,11/1/2012,10:44 AM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1.5,11/1/2012,3:45 PM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1.7,11/1/2012,7:17 AM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1.7,11/1/2012,2:38 PM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1.9,11/1/2012,12:14 PM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1.9,11/1/2012,1:43 PM,30,Thursday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.3,11/2/2012,4:18 PM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.5,11/2/2012,8:16 PM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.5,11/2/2012,1:15 PM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.6,11/2/2012,6:14 AM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.6,11/2/2012,5:21 PM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.6,11/2/2012,6:47 PM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.7,11/2/2012,7:18 PM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.7,11/2/2012,12:15 PM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.8,11/2/2012,9:47 AM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.8,11/2/2012,2:14 PM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.9,11/2/2012,10:14 AM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1,11/2/2012,8:45 AM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1,11/2/2012,3:13 PM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1.1,11/2/2012,11:44 AM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,1.4,11/2/2012,7:16 AM,30,Friday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30G SPAN,0.1,11/3/2012,8:37 PM,30,Saturday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30G SPAN,0.2,11/3/2012,9:38 PM,30,Saturday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30G SPAN,0.2,11/3/2012,5:16 PM,30,Saturday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30G SPAN,0.2,11/3/2012,6:15 PM,30,Saturday
Conn's,12 Radio EM November,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30G SPAN,0.3,11/3/2012,1:15 PM,30,Saturday
