Advertiser,Campaign,Market,Vendor,Media,Commercial Code,Approved GRPs/000s,Date Aired,Time Aired,Length Aired,Day Aired
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/18/2012,9:16 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/18/2012,3:49 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/18/2012,5:49 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.2,10/18/2012,7:49 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/18/2012,7:20 PM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/18/2012,8:22 PM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/18/2012,4:49 PM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.3,10/18/2012,11:49 AM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.4,10/18/2012,10:56 AM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.5,10/18/2012,8:56 AM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.5,10/18/2012,12:49 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.5,10/18/2012,9:54 AM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.8,10/18/2012,7:21 AM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.8,10/18/2012,7:58 AM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/19/2012,9:47 PM,15,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/19/2012,5:26 PM,15,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.1,10/19/2012,9:20 PM,30,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.2,10/19/2012,8:49 PM,15,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/19/2012,7:25 PM,30,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/19/2012,6:28 PM,30,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.3,10/19/2012,1:21 PM,15,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.5,10/19/2012,8:19 AM,30,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.8,10/19/2012,7:22 AM,15,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0,10/20/2012,4:49 PM,15,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0,10/20/2012,7:44 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0,10/20/2012,8:40 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0,10/20/2012,5:45 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0,10/20/2012,6:44 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/20/2012,1:53 PM,15,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.1,10/20/2012,12:52 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.2,10/20/2012,3:49 PM,15,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.3,10/20/2012,2:51 PM,15,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.3,10/20/2012,9:35 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.5,10/20/2012,11:23 AM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.6,10/20/2012,10:19 AM,15,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0,10/21/2012,7:37 PM,30,Sunday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.1,10/21/2012,8:42 PM,30,Sunday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.3,10/21/2012,9:48 PM,30,Sunday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/25/2012,3:20 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/25/2012,5:28 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.1,10/25/2012,9:48 PM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.2,10/25/2012,7:24 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.2,10/25/2012,7:49 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.2,10/25/2012,6:24 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/25/2012,8:49 PM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/25/2012,4:47 PM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/25/2012,6:50 PM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.3,10/25/2012,11:49 AM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.3,10/25/2012,1:54 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.3,10/25/2012,2:50 PM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.4,10/25/2012,10:21 AM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.5,10/25/2012,8:23 AM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.5,10/25/2012,9:24 AM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.8,10/25/2012,7:20 AM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.8,10/25/2012,7:59 AM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/26/2012,9:46 PM,15,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.2,10/26/2012,7:51 PM,15,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/26/2012,7:22 PM,30,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/26/2012,8:22 PM,30,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.5,10/26/2012,8:54 AM,15,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.8,10/26/2012,7:56 AM,30,Friday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0,10/27/2012,5:46 PM,15,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0,10/27/2012,6:44 PM,15,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0,10/27/2012,7:42 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0,10/27/2012,8:46 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0,10/27/2012,4:48 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/27/2012,12:50 PM,15,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.1,10/27/2012,1:52 PM,15,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.2,10/27/2012,3:53 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.3,10/27/2012,9:46 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.3,10/27/2012,2:53 PM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB15D SPAN,0.5,10/27/2012,11:21 AM,15,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.6,10/27/2012,10:15 AM,30,Saturday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0,10/28/2012,7:43 PM,30,Sunday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.1,10/28/2012,8:38 PM,30,Sunday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNSALB30C SPAN,0.3,10/28/2012,9:53 PM,30,Sunday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB15D SPAN,0,10/18/2012,9:41 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB15D SPAN,0.1,10/18/2012,8:16 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.2,10/18/2012,7:15 PM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB15D SPAN,0.3,10/18/2012,5:17 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.3,10/18/2012,10:18 AM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB15D SPAN,0.4,10/18/2012,8:45 AM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.4,10/18/2012,7:15 AM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.4,10/18/2012,8:17 AM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.4,10/18/2012,11:14 AM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB15D SPAN,0.5,10/18/2012,3:50 PM,15,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.5,10/18/2012,3:15 PM,30,Thursday
Conn's,12 Radio EM October,ALBUQUERQUE-SANTA FE,KKRG-FM,R,CNSALB30C SPAN,0.6,10/18/2012,1:18 PM,30,Thursday
