Advertiser,Campaign,Market,Vendor,Media,Commercial Code,Approved GRPs/000s,Date Aired,Time Aired,Length Aired,Day Aired
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.7,8/30/2012,6:41 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0,8/30/2012,4:43 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.6,8/30/2012,10:47 AM,15,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,1,8/30/2012,3:46 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.7,8/31/2012,8:45 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0,8/31/2012,4:15 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.8,8/31/2012,1:16 PM,15,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.5,8/31/2012,5:45 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.5,9/1/2012,11:12 AM,30,Saturday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.8,9/6/2012,7:15 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0,9/6/2012,4:13 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.8,9/6/2012,1:17 PM,15,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.6,9/6/2012,4:47 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.4,9/7/2012,9:43 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.4,9/7/2012,5:50 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.8,9/7/2012,1:41 PM,15,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.5,9/7/2012,6:43 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.5,9/8/2012,12:14 PM,30,Saturday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.4,9/13/2012,9:46 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.1,9/13/2012,4:11 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.8,9/13/2012,1:44 PM,15,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.6,9/13/2012,5:46 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.7,9/14/2012,7:47 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.1,9/14/2012,4:12 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.8,9/14/2012,1:16 PM,15,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.6,9/14/2012,4:48 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.5,9/15/2012,11:15 AM,30,Saturday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.4,9/20/2012,9:14 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.1,9/20/2012,4:13 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.8,9/20/2012,2:45 PM,15,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.5,9/20/2012,6:45 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.5,9/21/2012,8:46 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.1,9/21/2012,4:14 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.8,9/21/2012,1:43 PM,15,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.8,9/21/2012,3:22 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.5,9/22/2012,11:13 AM,30,Saturday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.7,9/27/2012,7:44 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.1,9/27/2012,4:14 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.7,9/27/2012,11:45 AM,15,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.6,9/27/2012,5:15 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.4,9/28/2012,9:11 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.1,9/28/2012,4:13 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.8,9/28/2012,2:43 PM,15,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.5,9/28/2012,6:13 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KASE-FM,R,,0.5,9/29/2012,11:15 AM,30,Saturday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS083012A,0.4,8/30/2012,8:27 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS030112A,1.4,8/30/2012,10:23 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS080612A,0.7,8/31/2012,4:24 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS030112A,0.6,8/31/2012,5:53 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS030112A,0.2,8/31/2012,11:26 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS083012B,1.2,8/31/2012,1:26 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS030112A,1.5,9/3/2012,2:55 PM,30,Monday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS090212A,0.6,9/3/2012,5:27 PM,30,Monday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS030112A,0.3,9/6/2012,10:26 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS090612AA,0.3,9/7/2012,10:54 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS091312B,0.2,9/13/2012,10:57 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS091312A,0.8,9/13/2012,5:25 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS030112A,0.2,9/14/2012,10:24 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS030112A,0.8,9/14/2012,7:24 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS092012A,0.1,9/20/2012,11:24 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS030112A,1.7,9/20/2012,9:58 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS092012C,0.1,9/21/2012,11:23 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS092012B,1.7,9/21/2012,9:59 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS092712A,0.2,9/27/2012,10:29 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS030112A,1.4,9/27/2012,2:31 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS080612A,0.2,9/28/2012,10:25 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KBPA-FM,R,CNS092712B,1.2,9/28/2012,8:22 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,2.5,8/30/2012,7:32 AM,15,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,1.3,8/30/2012,5:14 PM,15,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,0.1,8/30/2012,4:38 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,0.1,8/30/2012,4:12 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,1,8/30/2012,6:47 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,1.1,8/31/2012,4:13 PM,15,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,0.1,8/31/2012,4:12 AM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,1,8/31/2012,6:48 PM,30,Friday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,1.1,9/1/2012,12:50 PM,15,Saturday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,0.2,9/2/2012,9:43 AM,15,Sunday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,1.3,9/6/2012,9:32 AM,15,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,1,9/6/2012,6:15 PM,15,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,0.1,9/6/2012,4:37 AM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,1.3,9/6/2012,5:12 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,1.2,9/6/2012,3:12 PM,30,Thursday
Conn's,12 Radio GM September In-House,AUSTIN PPM,KHFI-FM,R,,1.3,9/7/2012,5:12 PM,15,Friday
