Advertiser,Campaign,Market,Vendor,Media,Commercial Code,Approved GRPs/000s,Date Aired,Time Aired,Length Aired,Day Aired
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013C SPAN,1.7,1/31/2013,8:16 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,1.2,1/31/2013,5:54 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,2.3,1/31/2013,7:17 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,1.4,1/31/2013,9:18 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,0.2,1/31/2013,9:23 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013C SPAN,0.6,1/31/2013,1:52 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,1.7,1/31/2013,11:50 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,1.6,1/31/2013,12:55 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,1.4,1/31/2013,10:55 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,0.6,1/31/2013,2:51 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013C SPAN,0.6,1/31/2013,6:45 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,0.7,1/31/2013,4:48 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,0.7,1/31/2013,5:50 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,0.2,1/31/2013,3:48 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013C SPAN,1.4,2/1/2013,9:54 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,1.6,2/1/2013,7:56 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,1.3,2/1/2013,8:55 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,1.4,2/1/2013,5:53 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013C SPAN,0.1,2/1/2013,8:47 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,0.3,2/1/2013,7:48 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,0.8,2/1/2013,12:54 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,0.3,2/1/2013,2:22 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,1.2,2/1/2013,11:48 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,0.7,2/1/2013,10:56 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013C SPAN,0.6,2/1/2013,3:22 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,0.5,2/1/2013,6:23 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,0.6,2/1/2013,5:24 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,0.7,2/1/2013,4:21 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,1.1,2/2/2013,9:46 AM,30,Saturday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013C SPAN,0,2/2/2013,6:45 PM,30,Saturday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,0.2,2/2/2013,4:19 PM,30,Saturday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS013013D SPAN,0.1,2/2/2013,5:40 PM,30,Saturday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,0.2,2/2/2013,3:23 PM,30,Saturday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613C SPAN,1.7,2/7/2013,8:19 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613D SPAN,2.3,2/7/2013,7:19 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,1.2,2/7/2013,5:50 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,1.4,2/7/2013,9:16 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,0.2,2/7/2013,9:31 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,0.5,2/7/2013,8:22 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613C SPAN,0.6,2/7/2013,1:22 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613D SPAN,1.6,2/7/2013,12:26 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,1.4,2/7/2013,10:13 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,1.7,2/7/2013,11:29 AM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,0.6,2/7/2013,2:26 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613C SPAN,0.6,2/7/2013,6:26 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613D SPAN,0.7,2/7/2013,5:27 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,0.2,2/7/2013,3:27 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,0.7,2/7/2013,4:28 PM,30,Thursday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613C SPAN,1.3,2/8/2013,8:18 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613D SPAN,1.6,2/8/2013,7:16 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,1.4,2/8/2013,5:50 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,1.4,2/8/2013,9:16 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613C SPAN,0.3,2/8/2013,7:49 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613C SPAN,0.3,2/8/2013,2:24 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613D SPAN,0.7,2/8/2013,1:24 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,1.2,2/8/2013,11:00 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,1.2,2/8/2013,11:49 AM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613D SPAN,0.5,2/8/2013,6:51 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,0.7,2/8/2013,4:26 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,0.6,2/8/2013,5:47 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,0.6,2/8/2013,3:25 PM,30,Friday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D SPAN,1.2,2/9/2013,8:42 AM,30,Saturday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613C SPAN,0,2/9/2013,6:27 PM,30,Saturday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS020613D SPAN,0.1,2/9/2013,5:23 PM,30,Saturday
Conn's,13 Radio EM February,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C SPAN,0.2,2/9/2013,3:24 PM,30,Saturday
