Advertiser,Campaign,Market,Vendor,Media,Commercial Code,Approved GRPs/000s,Date Aired,Time Aired,Length Aired,Day Aired
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS010313D,1.5,1/3/2013,5:53 AM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS010313D,2.2,1/3/2013,7:54 AM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D,1.4,1/3/2013,9:53 AM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS122612C,1.3,1/3/2013,8:53 AM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C,0.2,1/3/2013,9:46 PM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D,0.2,1/3/2013,7:37 PM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS010313D,1.3,1/3/2013,11:43 AM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS010313D,1.4,1/3/2013,12:40 PM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C,1.4,1/3/2013,10:54 AM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D,0.5,1/3/2013,2:43 PM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS122612C,0.9,1/3/2013,2:20 PM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS010313D,0.9,1/3/2013,4:45 PM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS010313D,0.7,1/3/2013,5:50 PM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C,0.2,1/3/2013,3:21 PM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS122612C,0.4,1/3/2013,6:41 PM,30,Thursday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS010313D,2.2,1/4/2013,5:51 AM,30,Friday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS010313D,1.8,1/4/2013,7:10 AM,30,Friday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS080612D,1,1/4/2013,9:53 AM,30,Friday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS122612C,1.5,1/4/2013,8:53 AM,30,Friday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS122612C,0,1/4/2013,8:19 PM,30,Friday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS010313D,0.8,1/4/2013,12:24 PM,30,Friday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS010313D,0.6,1/4/2013,1:47 PM,30,Friday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS030112C,0.6,1/4/2013,10:52 AM,30,Friday
Conn's,13 Radio EM Jan,ALBUQUERQUE-SANTA FE,KJFA-FM,R,CNS122612C,0.3,1/4/2013,2:49 PM,30,Friday
