Area Name,State Name,State Code,Media Market Code,Media Market Name,County Code,County Name,Area Name,Geography Name
Bibb (01007),Alabama,1,630,BIRMINGHAM,1007,Bibb,Bibb (01007),Bibb
Blount (01009),Alabama,1,630,BIRMINGHAM,1009,Blount,Blount (01009),Blount
Cherokee (01019),Alabama,1,630,BIRMINGHAM,1019,Cherokee,Cherokee (01019),Cherokee
Chilton (01021),Alabama,1,630,BIRMINGHAM,1021,Chilton,Chilton (01021),Chilton
Clay (01027),Alabama,1,630,BIRMINGHAM,1027,Clay,Clay (01027),Clay
Cleburne (01029),Alabama,1,524,ATLANTA,1029,Cleburne,Cleburne (01029),Cleburne
Calhoun (01015),Alabama,1,630,BIRMINGHAM,1015,Calhoun,Calhoun (01015),Calhoun
Pickens (01107),Alabama,1,630,BIRMINGHAM,1107,Pickens,Pickens (01107),Pickens
Randolph (01111),Alabama,1,524,ATLANTA,1111,Randolph,Randolph (01111),Randolph
St. Clair (01115),Alabama,1,630,BIRMINGHAM,1115,St. Clair,St. Clair (01115),St. Clair
Shelby (01117),Alabama,1,630,BIRMINGHAM,1117,Shelby,Shelby (01117),Shelby
Talladega (01121),Alabama,1,630,BIRMINGHAM,1121,Talladega,Talladega (01121),Talladega
Tuscaloosa (01125),Alabama,1,630,BIRMINGHAM,1125,Tuscaloosa,Tuscaloosa (01125),Tuscaloosa
Walker (01127),Alabama,1,630,BIRMINGHAM,1127,Walker,Walker (01127),Walker
Coosa (01037),Alabama,1,630,BIRMINGHAM,1037,Coosa,Coosa (01037),Coosa
Cullman (01043),Alabama,1,630,BIRMINGHAM,1043,Cullman,Cullman (01043),Cullman
Etowah (01055),Alabama,1,630,BIRMINGHAM,1055,Etowah,Etowah (01055),Etowah
Fayette (01057),Alabama,1,630,BIRMINGHAM,1057,Fayette,Fayette (01057),Fayette
Greene (01063),Alabama,1,630,BIRMINGHAM,1063,Greene,Greene (01063),Greene
Hale (01065),Alabama,1,630,BIRMINGHAM,1065,Hale,Hale (01065),Hale
Jefferson (01073),Alabama,1,630,BIRMINGHAM,1073,Jefferson,Jefferson (01073),Jefferson
Marion (01093),Alabama,1,630,BIRMINGHAM,1093,Marion,Marion (01093),Marion
Winston (01133),Alabama,1,630,BIRMINGHAM,1133,Winston,Winston (01133),Winston
Anchorage (02020),Alaska,2,743,ANCHORAGE,2020,Anchorage,Anchorage (02020),Anchorage
Kenai Peninsula (02122),Alaska,2,743,ANCHORAGE,2122,Kenai Peninsula,Kenai Peninsula (02122),Kenai Peninsula
Matanuska-Susitna (02170),Alaska,2,743,ANCHORAGE,2170,Matanuska-Susitna,Matanuska-Susitna (02170),Matanuska-Susitna
Apache (04001),Arizona,4,753,PHOENIX,4001,Apache,Apache (04001),Apache
Kern (06029),California,6,800,BAKERSFIELD,6029,Kern,Kern (06029),Kern
La Plata (08067),Colorado,8,790,ALBUQ-SANTA FE,8067,La Plata,La Plata (08067),La Plata
Montezuma (08083),Colorado,8,790,ALBUQ-SANTA FE,8083,Montezuma,Montezuma (08083),Montezuma
Atkinson (13003),Georgia,13,525,ALBANY  GA,13003,Atkinson,Atkinson (13003),Atkinson
Baker (13007),Georgia,13,525,ALBANY  GA,13007,Baker,Baker (13007),Baker
Banks (13011),Georgia,13,524,ATLANTA,13011,Banks,Banks (13011),Banks
Barrow (13013),Georgia,13,524,ATLANTA,13013,Barrow,Barrow (13013),Barrow
Bartow (13015),Georgia,13,524,ATLANTA,13015,Bartow,Bartow (13015),Bartow
Ben Hill (13017),Georgia,13,525,ALBANY  GA,13017,Ben Hill,Ben Hill (13017),Ben Hill
Berrien (13019),Georgia,13,525,ALBANY  GA,13019,Berrien,Berrien (13019),Berrien
Burke (13033),Georgia,13,520,AUGUSTA,13033,Burke,Burke (13033),Burke
Butts (13035),Georgia,13,524,ATLANTA,13035,Butts,Butts (13035),Butts
Calhoun (13037),Georgia,13,525,ALBANY  GA,13037,Calhoun,Calhoun (13037),Calhoun
Carroll (13045),Georgia,13,524,ATLANTA,13045,Carroll,Carroll (13045),Carroll
Cherokee (13057),Georgia,13,524,ATLANTA,13057,Cherokee,Cherokee (13057),Cherokee
Clarke (13059),Georgia,13,524,ATLANTA,13059,Clarke,Clarke (13059),Clarke
Clayton (13063),Georgia,13,524,ATLANTA,13063,Clayton,Clayton (13063),Clayton
Cobb (13067),Georgia,13,524,ATLANTA,13067,Cobb,Cobb (13067),Cobb
Coffee (13069),Georgia,13,525,ALBANY  GA,13069,Coffee,Coffee (13069),Coffee
Colquitt (13071),Georgia,13,525,ALBANY  GA,13071,Colquitt,Colquitt (13071),Colquitt
Columbia (13073),Georgia,13,520,AUGUSTA,13073,Columbia,Columbia (13073),Columbia
Cook (13075),Georgia,13,525,ALBANY  GA,13075,Cook,Cook (13075),Cook
Coweta (13077),Georgia,13,524,ATLANTA,13077,Coweta,Coweta (13077),Coweta
Crisp (13081),Georgia,13,525,ALBANY  GA,13081,Crisp,Crisp (13081),Crisp
Dawson (13085),Georgia,13,524,ATLANTA,13085,Dawson,Dawson (13085),Dawson
DeKalb (13089),Georgia,13,524,ATLANTA,13089,DeKalb,DeKalb (13089),DeKalb
Dougherty (13095),Georgia,13,525,ALBANY  GA,13095,Dougherty,Dougherty (13095),Dougherty
Douglas (13097),Georgia,13,524,ATLANTA,13097,Douglas,Douglas (13097),Douglas
Emanuel (13107),Georgia,13,520,AUGUSTA,13107,Emanuel,Emanuel (13107),Emanuel
Fannin (13111),Georgia,13,524,ATLANTA,13111,Fannin,Fannin (13111),Fannin
Fayette (13113),Georgia,13,524,ATLANTA,13113,Fayette,Fayette (13113),Fayette
Floyd (13115),Georgia,13,524,ATLANTA,13115,Floyd,Floyd (13115),Floyd
Forsyth (13117),Georgia,13,524,ATLANTA,13117,Forsyth,Forsyth (13117),Forsyth
Fulton (13121),Georgia,13,524,ATLANTA,13121,Fulton,Fulton (13121),Fulton
Gilmer (13123),Georgia,13,524,ATLANTA,13123,Gilmer,Gilmer (13123),Gilmer
Glascock (13125),Georgia,13,520,AUGUSTA,13125,Glascock,Glascock (13125),Glascock
Gordon (13129),Georgia,13,524,ATLANTA,13129,Gordon,Gordon (13129),Gordon
Greene (13133),Georgia,13,524,ATLANTA,13133,Greene,Greene (13133),Greene
Gwinnett (13135),Georgia,13,524,ATLANTA,13135,Gwinnett,Gwinnett (13135),Gwinnett
Habersham (13137),Georgia,13,524,ATLANTA,13137,Habersham,Habersham (13137),Habersham
Hall (13139),Georgia,13,524,ATLANTA,13139,Hall,Hall (13139),Hall
Haralson (13143),Georgia,13,524,ATLANTA,13143,Haralson,Haralson (13143),Haralson
Heard (13149),Georgia,13,524,ATLANTA,13149,Heard,Heard (13149),Heard
Henry (13151),Georgia,13,524,ATLANTA,13151,Henry,Henry (13151),Henry
Irwin (13155),Georgia,13,525,ALBANY  GA,13155,Irwin,Irwin (13155),Irwin
Jackson (13157),Georgia,13,524,ATLANTA,13157,Jackson,Jackson (13157),Jackson
Jasper (13159),Georgia,13,524,ATLANTA,13159,Jasper,Jasper (13159),Jasper
Jefferson (13163),Georgia,13,520,AUGUSTA,13163,Jefferson,Jefferson (13163),Jefferson
Jenkins (13165),Georgia,13,520,AUGUSTA,13165,Jenkins,Jenkins (13165),Jenkins
Rabun (13241),Georgia,13,524,ATLANTA,13241,Rabun,Rabun (13241),Rabun
Richmond (13245),Georgia,13,520,AUGUSTA,13245,Richmond,Richmond (13245),Richmond
Rockdale (13247),Georgia,13,524,ATLANTA,13247,Rockdale,Rockdale (13247),Rockdale
Spalding (13255),Georgia,13,524,ATLANTA,13255,Spalding,Spalding (13255),Spalding
Lamar (13171),Georgia,13,524,ATLANTA,13171,Lamar,Lamar (13171),Lamar
Lee (13177),Georgia,13,525,ALBANY  GA,13177,Lee,Lee (13177),Lee
Lincoln (13181),Georgia,13,520,AUGUSTA,13181,Lincoln,Lincoln (13181),Lincoln
Lumpkin (13187),Georgia,13,524,ATLANTA,13187,Lumpkin,Lumpkin (13187),Lumpkin
McDuffie (13189),Georgia,13,520,AUGUSTA,13189,McDuffie,McDuffie (13189),McDuffie
Madison (13195),Georgia,13,524,ATLANTA,13195,Madison,Madison (13195),Madison
