Area Name,State Name,State Code,Media Market Code,Media Market Name,County Code,County Name,Area Name,Geography Name
Barbour (01005),Alabama,1,522,COLUMBUS  GA,1005,Barbour,Barbour (01005),Barbour
Chambers (01017),Alabama,1,522,COLUMBUS  GA,1017,Chambers,Chambers (01017),Chambers
Russell (01113),Alabama,1,522,COLUMBUS  GA,1113,Russell,Russell (01113),Russell
Coffee (01031),Alabama,1,606,DOTHAN,1031,Coffee,Coffee (01031),Coffee
Dale (01045),Alabama,1,606,DOTHAN,1045,Dale,Dale (01045),Dale
Geneva (01061),Alabama,1,606,DOTHAN,1061,Geneva,Geneva (01061),Geneva
Henry (01067),Alabama,1,606,DOTHAN,1067,Henry,Henry (01067),Henry
Houston (01069),Alabama,1,606,DOTHAN,1069,Houston,Houston (01069),Houston
Lamar (01075),Alabama,1,673,COLUMBUS-TUP-WP,1075,Lamar,Lamar (01075),Lamar
Lee (01081),Alabama,1,522,COLUMBUS  GA,1081,Lee,Lee (01081),Lee
Butte (06007),California,6,868,CHICO-REDDING,6007,Butte,Butte (06007),Butte
Del Norte (06015),California,6,802,EUREKA,6015,Del Norte,Del Norte (06015),Del Norte
Glenn (06021),California,6,868,CHICO-REDDING,6021,Glenn,Glenn (06021),Glenn
Humboldt (06023),California,6,802,EUREKA,6023,Humboldt,Humboldt (06023),Humboldt
Shasta (06089),California,6,868,CHICO-REDDING,6089,Shasta,Shasta (06089),Shasta
Tehama (06103),California,6,868,CHICO-REDDING,6103,Tehama,Tehama (06103),Tehama
Trinity (06105),California,6,868,CHICO-REDDING,6105,Trinity,Trinity (06105),Trinity
Adams (08001),Colorado,8,751,DENVER,8001,Adams,Adams (08001),Adams
Alamosa (08003),Colorado,8,751,DENVER,8003,Alamosa,Alamosa (08003),Alamosa
Arapahoe (08005),Colorado,8,751,DENVER,8005,Arapahoe,Arapahoe (08005),Arapahoe
Modoc (06049),California,6,868,CHICO-REDDING,6049,Modoc,Modoc (06049),Modoc
El Paso (08041),Colorado,8,752,COLO SPRNGS-PBL,8041,El Paso,El Paso (08041),El Paso
Fremont (08043),Colorado,8,752,COLO SPRNGS-PBL,8043,Fremont,Fremont (08043),Fremont
Garfield (08045),Colorado,8,751,DENVER,8045,Garfield,Garfield (08045),Garfield
Gilpin (08047),Colorado,8,751,DENVER,8047,Gilpin,Gilpin (08047),Gilpin
Grand (08049),Colorado,8,751,DENVER,8049,Grand,Grand (08049),Grand
Gunnison (08051),Colorado,8,751,DENVER,8051,Gunnison,Gunnison (08051),Gunnison
Hinsdale (08053),Colorado,8,751,DENVER,8053,Hinsdale,Hinsdale (08053),Hinsdale
Huerfano (08055),Colorado,8,752,COLO SPRNGS-PBL,8055,Huerfano,Huerfano (08055),Huerfano
Jackson (08057),Colorado,8,751,DENVER,8057,Jackson,Jackson (08057),Jackson
Jefferson (08059),Colorado,8,751,DENVER,8059,Jefferson,Jefferson (08059),Jefferson
Kiowa (08061),Colorado,8,752,COLO SPRNGS-PBL,8061,Kiowa,Kiowa (08061),Kiowa
Archuleta (08007),Colorado,8,751,DENVER,8007,Archuleta,Archuleta (08007),Archuleta
Baca (08009),Colorado,8,752,COLO SPRNGS-PBL,8009,Baca,Baca (08009),Baca
Bent (08011),Colorado,8,752,COLO SPRNGS-PBL,8011,Bent,Bent (08011),Bent
Boulder (08013),Colorado,8,751,DENVER,8013,Boulder,Boulder (08013),Boulder
Broomfield (08014),Colorado,8,751,DENVER,8014,Broomfield,Broomfield (08014),Broomfield
Chaffee (08015),Colorado,8,751,DENVER,8015,Chaffee,Chaffee (08015),Chaffee
Cheyenne (08017),Colorado,8,751,DENVER,8017,Cheyenne,Cheyenne (08017),Cheyenne
Clear Creek (08019),Colorado,8,751,DENVER,8019,Clear Creek,Clear Creek (08019),Clear Creek
Conejos (08021),Colorado,8,751,DENVER,8021,Conejos,Conejos (08021),Conejos
Costilla (08023),Colorado,8,751,DENVER,8023,Costilla,Costilla (08023),Costilla
Crowley (08025),Colorado,8,752,COLO SPRNGS-PBL,8025,Crowley,Crowley (08025),Crowley
Custer (08027),Colorado,8,752,COLO SPRNGS-PBL,8027,Custer,Custer (08027),Custer
Delta (08029),Colorado,8,751,DENVER,8029,Delta,Delta (08029),Delta
Denver (08031),Colorado,8,751,DENVER,8031,Denver,Denver (08031),Denver
Dolores (08033),Colorado,8,751,DENVER,8033,Dolores,Dolores (08033),Dolores
Douglas (08035),Colorado,8,751,DENVER,8035,Douglas,Douglas (08035),Douglas
Eagle (08037),Colorado,8,751,DENVER,8037,Eagle,Eagle (08037),Eagle
Elbert (08039),Colorado,8,751,DENVER,8039,Elbert,Elbert (08039),Elbert
Kit Carson (08063),Colorado,8,751,DENVER,8063,Kit Carson,Kit Carson (08063),Kit Carson
Lake (08065),Colorado,8,751,DENVER,8065,Lake,Lake (08065),Lake
Larimer (08069),Colorado,8,751,DENVER,8069,Larimer,Larimer (08069),Larimer
Las Animas (08071),Colorado,8,752,COLO SPRNGS-PBL,8071,Las Animas,Las Animas (08071),Las Animas
Logan (08075),Colorado,8,751,DENVER,8075,Logan,Logan (08075),Logan
Mineral (08079),Colorado,8,751,DENVER,8079,Mineral,Mineral (08079),Mineral
Moffat (08081),Colorado,8,751,DENVER,8081,Moffat,Moffat (08081),Moffat
Morgan (08087),Colorado,8,751,DENVER,8087,Morgan,Morgan (08087),Morgan
Otero (08089),Colorado,8,752,COLO SPRNGS-PBL,8089,Otero,Otero (08089),Otero
Ouray (08091),Colorado,8,751,DENVER,8091,Ouray,Ouray (08091),Ouray
Park (08093),Colorado,8,751,DENVER,8093,Park,Park (08093),Park
Lincoln (08073),Colorado,8,751,DENVER,8073,Lincoln,Lincoln (08073),Lincoln
Weld (08123),Colorado,8,751,DENVER,8123,Weld,Weld (08123),Weld
Yuma (08125),Colorado,8,751,DENVER,8125,Yuma,Yuma (08125),Yuma
Phillips (08095),Colorado,8,751,DENVER,8095,Phillips,Phillips (08095),Phillips
Pitkin (08097),Colorado,8,751,DENVER,8097,Pitkin,Pitkin (08097),Pitkin
Prowers (08099),Colorado,8,751,DENVER,8099,Prowers,Prowers (08099),Prowers
Pueblo (08101),Colorado,8,752,COLO SPRNGS-PBL,8101,Pueblo,Pueblo (08101),Pueblo
Rio Blanco (08103),Colorado,8,751,DENVER,8103,Rio Blanco,Rio Blanco (08103),Rio Blanco
Rio Grande (08105),Colorado,8,751,DENVER,8105,Rio Grande,Rio Grande (08105),Rio Grande
Routt (08107),Colorado,8,751,DENVER,8107,Routt,Routt (08107),Routt
Saguache (08109),Colorado,8,752,COLO SPRNGS-PBL,8109,Saguache,Saguache (08109),Saguache
San Juan (08111),Colorado,8,751,DENVER,8111,San Juan,San Juan (08111),San Juan
San Miguel (08113),Colorado,8,751,DENVER,8113,San Miguel,San Miguel (08113),San Miguel
Sedgwick (08115),Colorado,8,751,DENVER,8115,Sedgwick,Sedgwick (08115),Sedgwick
Summit (08117),Colorado,8,751,DENVER,8117,Summit,Summit (08117),Summit
Teller (08119),Colorado,8,752,COLO SPRNGS-PBL,8119,Teller,Teller (08119),Teller
Washington (08121),Colorado,8,751,DENVER,8121,Washington,Washington (08121),Washington
Catoosa (13047),Georgia,13,575,CHATTANOOGA,13047,Catoosa,Catoosa (13047),Catoosa
Chattahoochee (13053),Georgia,13,522,COLUMBUS  GA,13053,Chattahoochee,Chattahoochee (13053),Chattahoochee
Clay (13061),Georgia,13,522,COLUMBUS  GA,13061,Clay,Clay (13061),Clay
Dade (13083),Georgia,13,575,CHATTANOOGA,13083,Dade,Dade (13083),Dade
Early (13099),Georgia,13,606,DOTHAN,13099,Early,Early (13099),Early
Harris (13145),Georgia,13,522,COLUMBUS  GA,13145,Harris,Harris (13145),Harris
Chattooga (13055),Georgia,13,575,CHATTANOOGA,13055,Chattooga,Chattooga (13055),Chattooga
Quitman (13239),Georgia,13,522,COLUMBUS  GA,13239,Quitman,Quitman (13239),Quitman
Randolph (13243),Georgia,13,522,COLUMBUS  GA,13243,Randolph,Randolph (13243),Randolph
Schley (13249),Georgia,13,522,COLUMBUS  GA,13249,Schley,Schley (13249),Schley
Marion (13197),Georgia,13,522,COLUMBUS  GA,13197,Marion,Marion (13197),Marion
Murray (13213),Georgia,13,575,CHATTANOOGA,13213,Murray,Murray (13213),Murray
Muscogee (13215),Georgia,13,522,COLUMBUS  GA,13215,Muscogee,Muscogee (13215),Muscogee
Stewart (13259),Georgia,13,522,COLUMBUS  GA,13259,Stewart,Stewart (13259),Stewart
Sumter (13261),Georgia,13,522,COLUMBUS  GA,13261,Sumter,Sumter (13261),Sumter
Talbot (13263),Georgia,13,522,COLUMBUS  GA,13263,Talbot,Talbot (13263),Talbot
Walker (13295),Georgia,13,575,CHATTANOOGA,13295,Walker,Walker (13295),Walker
Webster (13307),Georgia,13,522,COLUMBUS  GA,13307,Webster,Webster (13307),Webster
Whitfield (13313),Georgia,13,575,CHATTANOOGA,13313,Whitfield,Whitfield (13313),Whitfield
Taylor (13269),Georgia,13,522,COLUMBUS  GA,13269,Taylor,Taylor (13269),Taylor
Bureau (17011),Illinois,17,682,DAVNPRT-RI-MLNE,17011,Bureau,Bureau (17011),Bureau
Carroll (17015),Illinois,17,682,DAVNPRT-RI-MLNE,17015,Carroll,Carroll (17015),Carroll
Cass (17017),Illinois,17,648,CHAMPGN&SPR-DEC,17017,Cass,Cass (17017),Cass
Champaign (17019),Illinois,17,648,CHAMPGN&SPR-DEC,17019,Champaign,Champaign (17019),Champaign
Christian (17021),Illinois,17,648,CHAMPGN&SPR-DEC,17021,Christian,Christian (17021),Christian
Switzerland (18155),Indiana,18,515,CINCINNATI,18155,Switzerland,Switzerland (18155),Switzerland
Appanoose (19007),Iowa,19,679,DES MOINES-AMES,19007,Appanoose,Appanoose (19007),Appanoose
Audubon (19009),Iowa,19,679,DES MOINES-AMES,19009,Audubon,Audubon (19009),Audubon
Benton (19011),Iowa,19,637,CDR RP-WA-IC&DB,19011,Benton,Benton (19011),Benton
Fayette (19065),Iowa,19,637,CDR RP-WA-IC&DB,19065,Fayette,Fayette (19065),Fayette
Franklin (19069),Iowa,19,679,DES MOINES-AMES,19069,Franklin,Franklin (19069),Franklin
Johnson (19103),Iowa,19,637,CDR RP-WA-IC&DB,19103,Johnson,Johnson (19103),Johnson
Jones (19105),Iowa,19,637,CDR RP-WA-IC&DB,19105,Jones,Jones (19105),Jones
Keokuk (19107),Iowa,19,637,CDR RP-WA-IC&DB,19107,Keokuk,Keokuk (19107),Keokuk
Kossuth (19109),Iowa,19,679,DES MOINES-AMES,19109,Kossuth,Kossuth (19109),Kossuth
Linn (19113),Iowa,19,637,CDR RP-WA-IC&DB,19113,Linn,Linn (19113),Linn
Louisa (19115),Iowa,19,682,DAVNPRT-RI-MLNE,19115,Louisa,Louisa (19115),Louisa
Lucas (19117),Iowa,19,679,DES MOINES-AMES,19117,Lucas,Lucas (19117),Lucas
Madison (19121),Iowa,19,679,DES MOINES-AMES,19121,Madison,Madison (19121),Madison
Mahaska (19123),Iowa,19,679,DES MOINES-AMES,19123,Mahaska,Mahaska (19123),Mahaska
Marion (19125),Iowa,19,679,DES MOINES-AMES,19125,Marion,Marion (19125),Marion
Marshall (19127),Iowa,19,679,DES MOINES-AMES,19127,Marshall,Marshall (19127),Marshall
Monroe (19135),Iowa,19,679,DES MOINES-AMES,19135,Monroe,Monroe (19135),Monroe
Muscatine (19139),Iowa,19,682,DAVNPRT-RI-MLNE,19139,Muscatine,Muscatine (19139),Muscatine
Pocahontas (19151),Iowa,19,679,DES MOINES-AMES,19151,Pocahontas,Pocahontas (19151),Pocahontas
Polk (19153),Iowa,19,679,DES MOINES-AMES,19153,Polk,Polk (19153),Polk
Poweshiek (19157),Iowa,19,679,DES MOINES-AMES,19157,Poweshiek,Poweshiek (19157),Poweshiek
Ringgold (19159),Iowa,19,679,DES MOINES-AMES,19159,Ringgold,Ringgold (19159),Ringgold
Scott (19163),Iowa,19,682,DAVNPRT-RI-MLNE,19163,Scott,Scott (19163),Scott
Story (19169),Iowa,19,679,DES MOINES-AMES,19169,Story,Story (19169),Story
Tama (19171),Iowa,19,637,CDR RP-WA-IC&DB,19171,Tama,Tama (19171),Tama
Taylor (19173),Iowa,19,679,DES MOINES-AMES,19173,Taylor,Taylor (19173),Taylor
Union (19175),Iowa,19,679,DES MOINES-AMES,19175,Union,Union (19175),Union
Warren (19181),Iowa,19,679,DES MOINES-AMES,19181,Warren,Warren (19181),Warren
Washington (19183),Iowa,19,637,CDR RP-WA-IC&DB,19183,Washington,Washington (19183),Washington
Wayne (19185),Iowa,19,679,DES MOINES-AMES,19185,Wayne,Wayne (19185),Wayne
Webster (19187),Iowa,19,679,DES MOINES-AMES,19187,Webster,Webster (19187),Webster
Winneshiek (19191),Iowa,19,637,CDR RP-WA-IC&DB,19191,Winneshiek,Winneshiek (19191),Winneshiek
Wright (19197),Iowa,19,679,DES MOINES-AMES,19197,Wright,Wright (19197),Wright
Newton (18111),Indiana,18,602,CHICAGO,18111,Newton,Newton (18111),Newton
Ohio (18115),Indiana,18,515,CINCINNATI,18115,Ohio,Ohio (18115),Ohio
Union (18161),Indiana,18,515,CINCINNATI,18161,Union,Union (18161),Union
Vanderburgh (18163),Indiana,18,649,EVANSVILLE,18163,Vanderburgh,Vanderburgh (18163),Vanderburgh
Black Hawk (19013),Iowa,19,637,CDR RP-WA-IC&DB,19013,Black Hawk,Black Hawk (19013),Black Hawk
Boone (19015),Iowa,19,679,DES MOINES-AMES,19015,Boone,Boone (19015),Boone
Bremer (19017),Iowa,19,637,CDR RP-WA-IC&DB,19017,Bremer,Bremer (19017),Bremer
Buchanan (19019),Iowa,19,637,CDR RP-WA-IC&DB,19019,Buchanan,Buchanan (19019),Buchanan
Greene (19073),Iowa,19,679,DES MOINES-AMES,19073,Greene,Greene (19073),Greene
Grundy (19075),Iowa,19,637,CDR RP-WA-IC&DB,19075,Grundy,Grundy (19075),Grundy
Butler (19023),Iowa,19,637,CDR RP-WA-IC&DB,19023,Butler,Butler (19023),Butler
Calhoun (19025),Iowa,19,679,DES MOINES-AMES,19025,Calhoun,Calhoun (19025),Calhoun
Carroll (19027),Iowa,19,679,DES MOINES-AMES,19027,Carroll,Carroll (19027),Carroll
Guthrie (19077),Iowa,19,679,DES MOINES-AMES,19077,Guthrie,Guthrie (19077),Guthrie
Hamilton (19079),Iowa,19,679,DES MOINES-AMES,19079,Hamilton,Hamilton (19079),Hamilton
Hardin (19083),Iowa,19,679,DES MOINES-AMES,19083,Hardin,Hardin (19083),Hardin
Perry (18123),Indiana,18,649,EVANSVILLE,18123,Perry,Perry (18123),Perry
Pike (18125),Indiana,18,649,EVANSVILLE,18125,Pike,Pike (18125),Pike
Warrick (18173),Indiana,18,649,EVANSVILLE,18173,Warrick,Warrick (18173),Warrick
Cedar (19031),Iowa,19,637,CDR RP-WA-IC&DB,19031,Cedar,Cedar (19031),Cedar
Henry (19087),Iowa,19,682,DAVNPRT-RI-MLNE,19087,Henry,Henry (19087),Henry
Humboldt (19091),Iowa,19,679,DES MOINES-AMES,19091,Humboldt,Humboldt (19091),Humboldt
Porter (18127),Indiana,18,602,CHICAGO,18127,Porter,Porter (18127),Porter
Posey (18129),Indiana,18,649,EVANSVILLE,18129,Posey,Posey (18129),Posey
Wayne (18177),Indiana,18,542,DAYTON,18177,Wayne,Wayne (18177),Wayne
Chickasaw (19037),Iowa,19,637,CDR RP-WA-IC&DB,19037,Chickasaw,Chickasaw (19037),Chickasaw
Clarke (19039),Iowa,19,679,DES MOINES-AMES,19039,Clarke,Clarke (19039),Clarke
Clayton (19043),Iowa,19,637,CDR RP-WA-IC&DB,19043,Clayton,Clayton (19043),Clayton
Iowa (19095),Iowa,19,637,CDR RP-WA-IC&DB,19095,Iowa,Iowa (19095),Iowa
Ripley (18137),Indiana,18,515,CINCINNATI,18137,Ripley,Ripley (18137),Ripley
Clinton (19045),Iowa,19,682,DAVNPRT-RI-MLNE,19045,Clinton,Clinton (19045),Clinton
Dallas (19049),Iowa,19,679,DES MOINES-AMES,19049,Dallas,Dallas (19049),Dallas
Jackson (19097),Iowa,19,682,DAVNPRT-RI-MLNE,19097,Jackson,Jackson (19097),Jackson
Spencer (18147),Indiana,18,649,EVANSVILLE,18147,Spencer,Spencer (18147),Spencer
Adair (19001),Iowa,19,679,DES MOINES-AMES,19001,Adair,Adair (19001),Adair
Adams (19003),Iowa,19,679,DES MOINES-AMES,19003,Adams,Adams (19003),Adams
Decatur (19053),Iowa,19,679,DES MOINES-AMES,19053,Decatur,Decatur (19053),Decatur
Delaware (19055),Iowa,19,637,CDR RP-WA-IC&DB,19055,Delaware,Delaware (19055),Delaware
Des Moines (19057),Iowa,19,682,DAVNPRT-RI-MLNE,19057,Des Moines,Des Moines (19057),Des Moines
Jasper (19099),Iowa,19,679,DES MOINES-AMES,19099,Jasper,Jasper (19099),Jasper
Allamakee (19005),Iowa,19,637,CDR RP-WA-IC&DB,19005,Allamakee,Allamakee (19005),Allamakee
Dubuque (19061),Iowa,19,637,CDR RP-WA-IC&DB,19061,Dubuque,Dubuque (19061),Dubuque
