Area Name,State Name,State Code,Media Market Code,Media Market Name,County Code,County Name,Area Name,Geography Name
Morgan (01103),Alabama,1,691,HNTVLE-DCTR(FL),1103,Morgan,Morgan (01103),Morgan
Colbert (01033),Alabama,1,691,HNTVLE-DCTR(FL),1033,Colbert,Colbert (01033),Colbert
DeKalb (01049),Alabama,1,691,HNTVLE-DCTR(FL),1049,DeKalb,DeKalb (01049),DeKalb
Franklin (01059),Alabama,1,691,HNTVLE-DCTR(FL),1059,Franklin,Franklin (01059),Franklin
Jackson (01071),Alabama,1,691,HNTVLE-DCTR(FL),1071,Jackson,Jackson (01071),Jackson
Lauderdale (01077),Alabama,1,691,HNTVLE-DCTR(FL),1077,Lauderdale,Lauderdale (01077),Lauderdale
Lawrence (01079),Alabama,1,691,HNTVLE-DCTR(FL),1079,Lawrence,Lawrence (01079),Lawrence
Limestone (01083),Alabama,1,691,HNTVLE-DCTR(FL),1083,Limestone,Limestone (01083),Limestone
Madison (01089),Alabama,1,691,HNTVLE-DCTR(FL),1089,Madison,Madison (01089),Madison
Marshall (01095),Alabama,1,691,HNTVLE-DCTR(FL),1095,Marshall,Marshall (01095),Marshall
Fairbanks North Star (02090),Alaska,2,745,FAIRBANKS,2090,Fairbanks North Star,Fairbanks North Star (02090),Fairbanks North Star
Benton (05007),Arkansas,5,670,FT SMH-FY-SP-RG,5007,Benton,Benton (05007),Benton
Chicot (05017),Arkansas,5,647,GREENWD-GREENVL,5017,Chicot,Chicot (05017),Chicot
Crawford (05033),Arkansas,5,670,FT SMH-FY-SP-RG,5033,Crawford,Crawford (05033),Crawford
Franklin (05047),Arkansas,5,670,FT SMH-FY-SP-RG,5047,Franklin,Franklin (05047),Franklin
Johnson (05071),Arkansas,5,670,FT SMH-FY-SP-RG,5071,Johnson,Johnson (05071),Johnson
Logan (05083),Arkansas,5,670,FT SMH-FY-SP-RG,5083,Logan,Logan (05083),Logan
Madison (05087),Arkansas,5,670,FT SMH-FY-SP-RG,5087,Madison,Madison (05087),Madison
Washington (05143),Arkansas,5,670,FT SMH-FY-SP-RG,5143,Washington,Washington (05143),Washington
Fresno (06019),California,6,866,FRESNO-VISALIA,6019,Fresno,Fresno (06019),Fresno
Kings (06031),California,6,866,FRESNO-VISALIA,6031,Kings,Kings (06031),Kings
Scott (05127),Arkansas,5,670,FT SMH-FY-SP-RG,5127,Scott,Scott (05127),Scott
