Area Name,State Name,State Code,Media Market Code,Media Market Name,County Code,County Name,Area Name,Geography Name
Autauga (01001),Alabama,1,698,MONTGOMERY(SEL),1001,Autauga,Autauga (01001),Autauga
Baldwin (01003),Alabama,1,686,MOBILE-PNS(FWB),1003,Baldwin,Baldwin (01003),Baldwin
Bullock (01011),Alabama,1,698,MONTGOMERY(SEL),1011,Bullock,Bullock (01011),Bullock
Butler (01013),Alabama,1,698,MONTGOMERY(SEL),1013,Butler,Butler (01013),Butler
Choctaw (01023),Alabama,1,711,MERIDIAN,1023,Choctaw,Choctaw (01023),Choctaw
Clarke (01025),Alabama,1,686,MOBILE-PNS(FWB),1025,Clarke,Clarke (01025),Clarke
Perry (01105),Alabama,1,698,MONTGOMERY(SEL),1105,Perry,Perry (01105),Perry
Pike (01109),Alabama,1,698,MONTGOMERY(SEL),1109,Pike,Pike (01109),Pike
Sumter (01119),Alabama,1,711,MERIDIAN,1119,Sumter,Sumter (01119),Sumter
Tallapoosa (01123),Alabama,1,698,MONTGOMERY(SEL),1123,Tallapoosa,Tallapoosa (01123),Tallapoosa
Washington (01129),Alabama,1,686,MOBILE-PNS(FWB),1129,Washington,Washington (01129),Washington
Wilcox (01131),Alabama,1,698,MONTGOMERY(SEL),1131,Wilcox,Wilcox (01131),Wilcox
Conecuh (01035),Alabama,1,698,MONTGOMERY(SEL),1035,Conecuh,Conecuh (01035),Conecuh
Covington (01039),Alabama,1,698,MONTGOMERY(SEL),1039,Covington,Covington (01039),Covington
Crenshaw (01041),Alabama,1,698,MONTGOMERY(SEL),1041,Crenshaw,Crenshaw (01041),Crenshaw
Dallas (01047),Alabama,1,698,MONTGOMERY(SEL),1047,Dallas,Dallas (01047),Dallas
Elmore (01051),Alabama,1,698,MONTGOMERY(SEL),1051,Elmore,Elmore (01051),Elmore
Escambia (01053),Alabama,1,686,MOBILE-PNS(FWB),1053,Escambia,Escambia (01053),Escambia
Lowndes (01085),Alabama,1,698,MONTGOMERY(SEL),1085,Lowndes,Lowndes (01085),Lowndes
Macon (01087),Alabama,1,698,MONTGOMERY(SEL),1087,Macon,Macon (01087),Macon
Marengo (01091),Alabama,1,698,MONTGOMERY(SEL),1091,Marengo,Marengo (01091),Marengo
Mobile (01097),Alabama,1,686,MOBILE-PNS(FWB),1097,Mobile,Mobile (01097),Mobile
Monroe (01099),Alabama,1,686,MOBILE-PNS(FWB),1099,Monroe,Monroe (01099),Monroe
Montgomery (01101),Alabama,1,698,MONTGOMERY(SEL),1101,Montgomery,Montgomery (01101),Montgomery
Juneau (02110),Alaska,2,747,JUNEAU,2110,Juneau,Juneau (02110),Juneau
Arkansas (05001),Arkansas,5,693,LITL RCK-PN BLF,5001,Arkansas,Arkansas (05001),Arkansas
Ashley (05003),Arkansas,5,628,MONRO-EL DORADO,5003,Ashley,Ashley (05003),Ashley
Bradley (05011),Arkansas,5,693,LITL RCK-PN BLF,5011,Bradley,Bradley (05011),Bradley
Calhoun (05013),Arkansas,5,693,LITL RCK-PN BLF,5013,Calhoun,Calhoun (05013),Calhoun
Clark (05019),Arkansas,5,693,LITL RCK-PN BLF,5019,Clark,Clark (05019),Clark
Clay (05021),Arkansas,5,734,JONESBORO,5021,Clay,Clay (05021),Clay
Cleburne (05023),Arkansas,5,693,LITL RCK-PN BLF,5023,Cleburne,Cleburne (05023),Cleburne
Cleveland (05025),Arkansas,5,693,LITL RCK-PN BLF,5025,Cleveland,Cleveland (05025),Cleveland
Conway (05029),Arkansas,5,693,LITL RCK-PN BLF,5029,Conway,Conway (05029),Conway
Craighead (05031),Arkansas,5,734,JONESBORO,5031,Craighead,Craighead (05031),Craighead
Crittenden (05035),Arkansas,5,640,MEMPHIS,5035,Crittenden,Crittenden (05035),Crittenden
Cross (05037),Arkansas,5,640,MEMPHIS,5037,Cross,Cross (05037),Cross
Dallas (05039),Arkansas,5,693,LITL RCK-PN BLF,5039,Dallas,Dallas (05039),Dallas
Desha (05041),Arkansas,5,693,LITL RCK-PN BLF,5041,Desha,Desha (05041),Desha
Drew (05043),Arkansas,5,693,LITL RCK-PN BLF,5043,Drew,Drew (05043),Drew
Faulkner (05045),Arkansas,5,693,LITL RCK-PN BLF,5045,Faulkner,Faulkner (05045),Faulkner
Grant (05053),Arkansas,5,693,LITL RCK-PN BLF,5053,Grant,Grant (05053),Grant
Greene (05055),Arkansas,5,734,JONESBORO,5055,Greene,Greene (05055),Greene
Hot Spring (05059),Arkansas,5,693,LITL RCK-PN BLF,5059,Hot Spring,Hot Spring (05059),Hot Spring
Independence (05063),Arkansas,5,693,LITL RCK-PN BLF,5063,Independence,Independence (05063),Independence
Izard (05065),Arkansas,5,734,JONESBORO,5065,Izard,Izard (05065),Izard
Jackson (05067),Arkansas,5,693,LITL RCK-PN BLF,5067,Jackson,Jackson (05067),Jackson
Jefferson (05069),Arkansas,5,693,LITL RCK-PN BLF,5069,Jefferson,Jefferson (05069),Jefferson
Lawrence (05075),Arkansas,5,734,JONESBORO,5075,Lawrence,Lawrence (05075),Lawrence
Lee (05077),Arkansas,5,640,MEMPHIS,5077,Lee,Lee (05077),Lee
Lincoln (05079),Arkansas,5,693,LITL RCK-PN BLF,5079,Lincoln,Lincoln (05079),Lincoln
Lonoke (05085),Arkansas,5,693,LITL RCK-PN BLF,5085,Lonoke,Lonoke (05085),Lonoke
Mississippi (05093),Arkansas,5,640,MEMPHIS,5093,Mississippi,Mississippi (05093),Mississippi
Monroe (05095),Arkansas,5,693,LITL RCK-PN BLF,5095,Monroe,Monroe (05095),Monroe
Montgomery (05097),Arkansas,5,693,LITL RCK-PN BLF,5097,Montgomery,Montgomery (05097),Montgomery
Ouachita (05103),Arkansas,5,693,LITL RCK-PN BLF,5103,Ouachita,Ouachita (05103),Ouachita
Perry (05105),Arkansas,5,693,LITL RCK-PN BLF,5105,Perry,Perry (05105),Perry
Phillips (05107),Arkansas,5,640,MEMPHIS,5107,Phillips,Phillips (05107),Phillips
Pike (05109),Arkansas,5,693,LITL RCK-PN BLF,5109,Pike,Pike (05109),Pike
Garland (05051),Arkansas,5,693,LITL RCK-PN BLF,5051,Garland,Garland (05051),Garland
Van Buren (05141),Arkansas,5,693,LITL RCK-PN BLF,5141,Van Buren,Van Buren (05141),Van Buren
White (05145),Arkansas,5,693,LITL RCK-PN BLF,5145,White,White (05145),White
Woodruff (05147),Arkansas,5,693,LITL RCK-PN BLF,5147,Woodruff,Woodruff (05147),Woodruff
Yell (05149),Arkansas,5,693,LITL RCK-PN BLF,5149,Yell,Yell (05149),Yell
Inyo (06027),California,6,803,LOS ANGELES,6027,Inyo,Inyo (06027),Inyo
Kern (06029),California,6,800,BAKERSFIELD,6029,Kern,Kern (06029),Kern
Poinsett (05111),Arkansas,5,640,MEMPHIS,5111,Poinsett,Poinsett (05111),Poinsett
Polk (05113),Arkansas,5,693,LITL RCK-PN BLF,5113,Polk,Polk (05113),Polk
Pope (05115),Arkansas,5,693,LITL RCK-PN BLF,5115,Pope,Pope (05115),Pope
Prairie (05117),Arkansas,5,693,LITL RCK-PN BLF,5117,Prairie,Prairie (05117),Prairie
