Area Name,State Name,State Code,Media Market Code,Media Market Name,County Code,County Name,Area Name,Geography Name
Yavapai (04025),Arizona,4,753,PHOENIX,4025,Yavapai,Yavapai (04025),Yavapai
Apache (04001),Arizona,4,753,PHOENIX,4001,Apache,Apache (04001),Apache
Coconino (04005),Arizona,4,753,PHOENIX,4005,Coconino,Coconino (04005),Coconino
Gila (04007),Arizona,4,753,PHOENIX,4007,Gila,Gila (04007),Gila
Graham (04009),Arizona,4,753,PHOENIX,4009,Graham,Graham (04009),Graham
Greenlee (04011),Arizona,4,753,PHOENIX,4011,Greenlee,Greenlee (04011),Greenlee
La Paz (04012),Arizona,4,753,PHOENIX,4012,La Paz,La Paz (04012),La Paz
Maricopa (04013),Arizona,4,753,PHOENIX,4013,Maricopa,Maricopa (04013),Maricopa
Mohave (04015),Arizona,4,753,PHOENIX,4015,Mohave,Mohave (04015),Mohave
Navajo (04017),Arizona,4,753,PHOENIX,4017,Navajo,Navajo (04017),Navajo
Pinal (04021),Arizona,4,753,PHOENIX,4021,Pinal,Pinal (04021),Pinal
Alpine (06003),California,6,811,RENO,6003,Alpine,Alpine (06003),Alpine
El Dorado (06017),California,6,811,RENO,6017,El Dorado,El Dorado (06017),El Dorado
Lassen (06035),California,6,811,RENO,6035,Lassen,Lassen (06035),Lassen
Riverside (06065),California,6,803,LOS ANGELES,6065,Riverside,Riverside (06065),Riverside
Mono (06051),California,6,811,RENO,6051,Mono,Mono (06051),Mono
Fairfield (09001),Connecticut,9,501,NEW YORK,9001,Fairfield,Fairfield (09001),Fairfield
Kent (10001),Delaware,10,504,PHILADELPHIA,10001,Kent,Kent (10001),Kent
New Castle (10003),Delaware,10,504,PHILADELPHIA,10003,New Castle,New Castle (10003),New Castle
Bay (12005),Florida,12,656,PANAMA CITY,12005,Bay,Bay (12005),Bay
Brevard (12009),Florida,12,534,ORL-DYTN B-MLBN,12009,Brevard,Brevard (12009),Brevard
Calhoun (12013),Florida,12,656,PANAMA CITY,12013,Calhoun,Calhoun (12013),Calhoun
Flagler (12035),Florida,12,534,ORL-DYTN B-MLBN,12035,Flagler,Flagler (12035),Flagler
Franklin (12037),Florida,12,656,PANAMA CITY,12037,Franklin,Franklin (12037),Franklin
Gulf (12045),Florida,12,656,PANAMA CITY,12045,Gulf,Gulf (12045),Gulf
Holmes (12059),Florida,12,656,PANAMA CITY,12059,Holmes,Holmes (12059),Holmes
Jackson (12063),Florida,12,656,PANAMA CITY,12063,Jackson,Jackson (12063),Jackson
Lake (12069),Florida,12,534,ORL-DYTN B-MLBN,12069,Lake,Lake (12069),Lake
Liberty (12077),Florida,12,656,PANAMA CITY,12077,Liberty,Liberty (12077),Liberty
Marion (12083),Florida,12,534,ORL-DYTN B-MLBN,12083,Marion,Marion (12083),Marion
Walton (12131),Florida,12,656,PANAMA CITY,12131,Walton,Walton (12131),Walton
Washington (12133),Florida,12,656,PANAMA CITY,12133,Washington,Washington (12133),Washington
Orange (12095),Florida,12,534,ORL-DYTN B-MLBN,12095,Orange,Orange (12095),Orange
Osceola (12097),Florida,12,534,ORL-DYTN B-MLBN,12097,Osceola,Osceola (12097),Osceola
Seminole (12117),Florida,12,534,ORL-DYTN B-MLBN,12117,Seminole,Seminole (12117),Seminole
Sumter (12119),Florida,12,534,ORL-DYTN B-MLBN,12119,Sumter,Sumter (12119),Sumter
Volusia (12127),Florida,12,534,ORL-DYTN B-MLBN,12127,Volusia,Volusia (12127),Volusia
Boone (17007),Illinois,17,610,ROCKFORD,17007,Boone,Boone (17007),Boone
Brown (17009),Illinois,17,717,QUINCY-HBL-KEOK,17009,Brown,Brown (17009),Brown
Adams (17001),Illinois,17,717,QUINCY-HBL-KEOK,17001,Adams,Adams (17001),Adams
Alexander (17003),Illinois,17,632,PDCH-CG-HAR-MTV,17003,Alexander,Alexander (17003),Alexander
Floyd (19067),Iowa,19,611,RCH-MASN CY-AUS,19067,Floyd,Floyd (19067),Floyd
Lee (19111),Iowa,19,717,QUINCY-HBL-KEOK,19111,Lee,Lee (19111),Lee
Mills (19129),Iowa,19,652,OMAHA,19129,Mills,Mills (19129),Mills
Mitchell (19131),Iowa,19,611,RCH-MASN CY-AUS,19131,Mitchell,Mitchell (19131),Mitchell
Montgomery (19137),Iowa,19,652,OMAHA,19137,Montgomery,Montgomery (19137),Montgomery
Page (19145),Iowa,19,652,OMAHA,19145,Page,Page (19145),Page
Pottawattamie (19155),Iowa,19,652,OMAHA,19155,Pottawattamie,Pottawattamie (19155),Pottawattamie
Shelby (19165),Iowa,19,652,OMAHA,19165,Shelby,Shelby (19165),Shelby
Van Buren (19177),Iowa,19,631,OTTUMWA-KIRKSVL,19177,Van Buren,Van Buren (19177),Van Buren
Wapello (19179),Iowa,19,631,OTTUMWA-KIRKSVL,19179,Wapello,Wapello (19179),Wapello
Winnebago (19189),Iowa,19,611,RCH-MASN CY-AUS,19189,Winnebago,Winnebago (19189),Winnebago
Worth (19195),Iowa,19,611,RCH-MASN CY-AUS,19195,Worth,Worth (19195),Worth
Fremont (19071),Iowa,19,652,OMAHA,19071,Fremont,Fremont (19071),Fremont
Hancock (19081),Iowa,19,611,RCH-MASN CY-AUS,19081,Hancock,Hancock (19081),Hancock
Harrison (19085),Iowa,19,652,OMAHA,19085,Harrison,Harrison (19085),Harrison
Cass (19029),Iowa,19,652,OMAHA,19029,Cass,Cass (19029),Cass
Cerro Gordo (19033),Iowa,19,611,RCH-MASN CY-AUS,19033,Cerro Gordo,Cerro Gordo (19033),Cerro Gordo
Howard (19089),Iowa,19,611,RCH-MASN CY-AUS,19089,Howard,Howard (19089),Howard
Crawford (19047),Iowa,19,652,OMAHA,19047,Crawford,Crawford (19047),Crawford
Davis (19051),Iowa,19,631,OTTUMWA-KIRKSVL,19051,Davis,Davis (19051),Davis
Jefferson (19101),Iowa,19,631,OTTUMWA-KIRKSVL,19101,Jefferson,Jefferson (19101),Jefferson
Hancock (17067),Illinois,17,717,QUINCY-HBL-KEOK,17067,Hancock,Hancock (17067),Hancock
Saline (17165),Illinois,17,632,PDCH-CG-HAR-MTV,17165,Saline,Saline (17165),Saline
Schuyler (17169),Illinois,17,717,QUINCY-HBL-KEOK,17169,Schuyler,Schuyler (17169),Schuyler
Scott (17171),Illinois,17,717,QUINCY-HBL-KEOK,17171,Scott,Scott (17171),Scott
Stark (17175),Illinois,17,675,PEORIA-BLMINGTN,17175,Stark,Stark (17175),Stark
Stephenson (17177),Illinois,17,610,ROCKFORD,17177,Stephenson,Stephenson (17177),Stephenson
