Area Name,2013 Q4 Total businesses,2013 Q4 Households with Net Asset Value Up to 25K,2013 Q4 Households with Net Asset Value 25K to 50K,2013 Q4 Households with Net Asset Value 50K to 75K,2013 Q4 Households with Net Asset Value 100K to 250K,2013 Q4 Households with Net Asset Value 75K to 100K,2013 Q4 Male Age 15-19 ,2013 Q4 Male Age 20-24,2013 Q4 Male Age 25-29 ,2013 Q4 Male Age 30-34,2013 Q4 Male Age 35-39 ,2013 Q4 Male Age 40-44 ,2013 Q4 Male Age 45-49,2013 Q4 Male Age 50-54,2013 Q4 Male Age 55-59 ,2013 Q4 Male Age 60-64,2013 Q4 Male Age 65-69 ,2013 Q4 Female Age 20-24,2013 Q4 Female Age 15-19 ,2013 Q4 Female Age 25-29 ,2013 Q4 Female Age 30-34,2013 Q4 Female Age 35-39 ,2013 Q4 Female Age 40-44,2013 Q4 Female Age 45-49 ,2013 Q4 Female Age 50-54,2013 Q4 Female Age 55-59,2013 Q4 Female Age 60-64 ,2013 Q4 Female Age 65-69,2013 Q4 Average HH Income Age15-24,2013 Q4 Average HH Income Age 25-34,2013 Q4 Average HH Income Age 35-44,2013 Q4 Average HH Income Age 45-54,2013 Q4 Average HH Income Age 55-64,2013 Q4 Average HH Income Age 65-74,2013 Q4 HHs Age 15-24 Income 20k-25k,2013 Q4 HHs Age 15-24 Income 15k-20k,2013 Q4 HHs Age 15-24 Income 25k-30k,2013 Q4 HHs Age 15-24 Income 30k-35k,2013 Q4 HHs Age 15-24 Income 35k-40k,2013 Q4 HHs Age 15-24 Income 45k-50k ,2013 Q4 HHs Age 15-24 Income 40k-45k,2013 Q4 HHs Age 15-24 Income 50k-60k,2013 Q4 HHs Age 15-24 Income 60k-75k,2013 Q4 HHs Age 15-24 Income 75k-100k,2013 Q4 HHs Age 15-24 Income 100k-125k,2013 Q4 HHs Age 15-24 Income 125k-150k,2013 Q4 HHs Age 15-24 Income 10k-15k,2013 Q4 HHs Age 15-24 Income 150k-200k,2013 Q4 HHs Age 15-24 Income Above 200k,2013 Q4 Median White Pop Age,2013 Q4 Median African American Pop Age,2013 Q4 Median Asian Pop Age,2013 Q4 Owner Occupied HUs,2013 Q4 Renter Occupied HUs,2013 Q4 Vacant HUs,2013 Q4 Seasonal HUs,2013 Q4 Unemployed,2013 Q4 Male Unemployed,2013 Q4 Female Unemployed,2013 Q4 Pop,2013 Q4 HHs,2013 Q4 Group Quarters,2013 Q4 HUs,HH Growth 2013 Q4 To 2018 Q4,2013 Q4 Median HH Age,2013 Q4 Median HH Income,2013 Q4 Median HU Value,Pop Growth 2013 Q4 To 2018 Q4,2013 Q4 Pop Below Age 19,2013 Q4 Pop Age 20-64,2013 Q4 Pop Age 65+,2013 Q4 White ,2013 Q4 Black ,2013 Q4 Hispanic ,2013 Q4 Native American ,2013 Q4 Asian ,2013 Q4 Pacific Islander,2013 Q4 Two Or More Races,2013 Q4 Hispanic HHs,2013 Q4 White Households,2013 Q4 African American Households,2013 Q4 Asian Households,2018 Q4 Pop,2018 Q4 HHs,2018 Q4 Group Quarters,2018 Q4 HUs,2018 Q4 Median HH Age,2018 Q4 Median HH Income,2018 Q4 Median HU Value,2018 Q4 Pop Below Age 19,2018 Q4 Pop Age 20-64,2018 Q4 Pop Age 65+,2018 Q4 White ,2018 Q4 Black ,2018 Q4 Hispanic ,2018 Q4 Native American ,2018 Q4 Asian ,2018 Q4 Pacific Islander ,2018 Q4 Two Or More Races,2018 Q4 Hispanic HHs,2018 Q4 White Households,2018 Q4 African American Households,2018 Q4 Asian Households,2010 Census Pop,2010 Census HHs ,2010 Census Group Quarters,2010 Census HUs,HH Growth 2010 Census To 2013 Q4,2010 Census Median HH Age,2010 Census Median HH Income,2010 Census Median HU Value,Pop Growth 2010 Census To 2013 Q4,2010 Census Pop Age Below 19,2010 Census Pop Age 20-64,2010 Census Pop Age 65+,2010 Census White ,2010 Census Black ,2010 Census Hispanic ,2010 Census Native American ,2010 Census Asian ,2010 Census Pacific Islander ,2010 Census Two Or More Races,2010 Census Hispanic HHs,2010 Census White Households,2010 Census African American Households,2010 Census Asian Households,2000 Census Pop,2000 Census HHs ,2000 Census Group Quarters,2013 Q4 HUs,2013 Q4 Owner Occupied HUs,2013 Q4 Renter Occupied HUs,2013 Q4 HU Value Less Than 100k,2013 Q4 HU Value 100k-200k,2013 Q4 HU Value 200k-300k,2013 Q4 HU Value 300k-400k,2013 Q4 HU Value 400k-500k ,2013 Q4 HU Value 500k-1mil,2013 Q4 HU Value Above 1mil,2018 Q4 HUs,2018 Q4 Owner Occupied HUs,2018 Q4 Renter Occupied HUs,2018 Q4 HU Value Less Than 100k,2018 Q4 HU Value 100k-200k,2018 Q4 HU Value 200k-300k,2018 Q4 HU Value 300k-400k,2018 Q4 HU Value 400k-500k ,2018 Q4 HU Value 500k-1mil,2018 Q4 HU Value Above 1mil,2010 Census HUs,2010 Census Owner Occupied HUs,2010 Census Renter Occupied HUs,2010 Census HU Value Less Than 100k,2010 Census HU Value 100k-200k,2010 Census HU Value 200k-300k,2010 Census HU Value 300k-400k,2010 Census HU Value 400k-500k ,2010 Census HU Value 500k-1mil,2010 Census HU Value Above 1mil
BOSTON (MANCHR) (506),"370,544","1,226,860","250,174","135,454","345,729","113,463","214,705","221,880","220,893","206,993","196,158","212,286","235,075","241,928","220,359","190,455","142,274","218,590","206,992","221,291","210,713","202,671","221,596","245,632","253,428","234,296","207,138","160,159","$85,378 ","$82,595 ","$88,941 ","$93,777 ","$94,175 ","$93,176 ","4,315","4,817","4,158","4,376","3,782","3,519","3,676","6,729","9,391","13,435","10,122","6,527","5,518","7,414","7,473",41.9,31.7,32.8,"1,600,116","914,804","222,302","120,049","221,247","124,045","97,202","6,469,773","2,514,920","217,896","2,737,222",3%,51.6,"$69,457 ","$336,967 ",3%,1558119,3961382,950272,"5,486,133","457,348","549,607","26,038","374,483","5,489","120,282","159,402","2,196,170","153,176","118,859","6,668,019","2,595,242","217,896","2,835,148",53.2,"$70,111 ","$337,974 ",1589820,3935164,1143035,"5,644,734","477,087","571,053","26,921","389,288","5,683","124,306","166,000","2,262,764","159,976","123,729","6,322,433","2,457,811","211,713","2,730,569",2%,50.9,"$66,210 ","$335,872 ",2%,1561715,3908734,851984,"5,387,202","438,558","518,180","24,504","355,318","4,487","112,364","149,689","2,158,553","146,163","111,161","6,080,235","2,333,830","180,166","2,737,222","1,600,116","914,804","59,613","193,118","400,222","397,934","216,333","274,609","58,287","2,835,148","1,648,105","947,137","61,060","197,125","410,116","410,148","223,634","285,011","61,011","2,730,569","1,561,927","895,884","58,527","177,159","408,830","380,374","211,155","269,682","56,200"
SAVANNAH (507),"46,210","227,421","30,819","14,467","28,273","11,642","32,745","39,756","38,042","32,875","29,084","27,756","27,981","28,211","26,304","24,597","20,825","36,025","30,413","34,954","31,372","28,240","27,450","28,809","29,872","29,195","27,960","23,954","$51,338 ","$54,095 ","$58,260 ","$59,674 ","$62,089 ","$66,489 ","1,210","1,305","1,030","1,133",924,805,"1,002","1,505","1,725","1,772",869,540,"1,320",409,332,38.6,30.8,33.4,"225,203","125,084","63,080","20,543","37,106","19,211","17,895","931,738","350,287","40,595","413,367",7%,50.7,"$44,248 ","$159,407 ",6%,249834,548483,133421,"609,493","284,992","71,586","4,116","14,548","1,449","17,140","18,162","241,870","98,032","4,700","992,044","373,880","40,595","420,662",51.7,"$44,577 ","$161,255 ",261990,568251,161803,"648,168","303,754","76,450","4,390","15,702","1,565","18,465","19,500","257,773","104,818","5,041","891,134","334,628","39,943","408,490",5%,49.9,"$43,203 ","$157,022 ",5%,245409,530027,115698,"584,974","272,470","66,549","3,671","13,171","1,281","15,567","16,720","232,086","93,465","4,095","753,903","276,507","33,441","413,367","225,203","125,084","69,835","71,988","34,396","16,720","9,429","17,622","5,213","420,662","239,715","134,165","72,845","76,748","37,108","17,996","10,114","19,142","5,762","408,490","215,604","119,024","66,568","72,312","35,580","14,993","7,947","13,668","4,536"
PITTSBURGH (508),"150,455","726,548","121,538","61,981","125,314","48,779","91,385","99,119","94,078","85,650","79,541","85,481","94,481","105,953","106,095","94,214","69,960","95,438","86,863","89,966","82,501","78,201","86,197","97,431","110,431","110,742","100,898","78,697","$60,414 ","$61,451 ","$66,349 ","$67,950 ","$67,442 ","$66,286 ","3,108","3,229","2,781","2,446","2,277","1,932","2,233","3,857","4,581","5,249","3,342","1,692","3,640","1,561","1,569",44.1,32.6,31,"833,467","364,219","134,243","26,297","103,828","59,154","44,674","2,844,908","1,197,686","89,616","1,331,929",0%,54.2,"$48,794 ","$131,839 ",0%,638407,1696417,510084,"2,533,961","215,180","39,129","4,193","48,734",762,"42,078","11,750","1,081,841","85,746","17,805","2,855,113","1,202,367","89,616","1,336,569",55.5,"$49,658 ","$132,259 ",640497,1635885,578731,"2,541,804","216,700","39,399","4,215","49,311",770,"42,313","11,845","1,085,382","86,433","18,047","2,837,453","1,194,471","89,144","1,331,094",0%,53.2,"$45,749 ","$126,265 ",0%,653743,1701443,482267,"2,534,231","212,347","35,594","3,637","46,377",579,"40,282","10,490","1,083,036","84,085","16,573","2,901,324","1,179,042","79,694","1,331,929","833,467","364,219","320,434","302,456","117,503","47,730","19,074","22,293","3,977","1,336,569","835,771","366,596","320,086","303,171","118,380","48,166","19,345","22,637","3,986","1,331,094","831,810","362,661","335,238","307,127","108,951","41,864","16,508","18,004","4,118"
FT. WAYNE (509),"32,484","175,905","28,002","13,439","26,982","10,720","26,554","23,952","22,096","21,975","21,753","22,460","23,834","25,217","24,305","21,038","15,771","23,400","25,282","22,136","22,036","21,693","22,359","23,942","25,682","24,797","22,185","17,268","$55,298 ","$54,391 ","$58,068 ","$60,150 ","$60,736 ","$60,444 ",736,788,732,757,713,639,708,"1,204","1,337","1,448",679,312,839,200,199,39,28.7,29.1,"203,199","74,063","32,766","7,443","30,848","17,273","13,575","721,019","277,262","14,074","310,028",1%,52,"$47,097 ","$113,637 ",1%,202126,414860,104033,"647,221","46,110","37,054","2,867","11,713",470,"12,638","9,352","252,573","17,314","3,407","730,947","281,156","14,074","311,507",53.3,"$47,466 ","$113,608 ",195227,413152,122568,"655,199","47,434","37,771","2,910","12,020",481,"12,903","9,547","255,932","17,779","3,472","714,211","274,595","14,075","308,743",1%,50.8,"$45,347 ","$112,398 ",1%,207762,411722,94727,"643,340","44,283","35,647","2,844","11,287",392,"12,065","9,001","251,435","16,401","3,163","688,346","262,465","11,825","310,028","203,199","74,063","91,148","76,639","21,217","8,608","2,482","2,235",870,"311,507","205,565","75,591","92,254","77,367","21,496","8,754","2,536","2,265",893,"308,743","202,200","72,395","91,517","77,293","20,746","7,018","2,521","2,535",570
CLEVELAND (510),"186,705","942,478","143,136","71,896","159,608","59,128","132,794","123,482","113,606","109,584","107,159","116,839","128,771","140,776","136,475","120,587","89,930","120,985","126,679","114,379","111,644","110,513","121,011","135,079","148,572","145,009","131,257","101,727","$57,939 ","$56,410 ","$61,112 ","$63,727 ","$64,086 ","$63,983 ","4,052","3,998","3,528","3,839","3,157","2,639","3,084","5,043","5,903","6,766","3,810","2,112","4,291","1,745","1,455",42.8,34.1,33.7,"1,052,330","492,708","184,837","16,073","139,977","79,312","60,665","3,821,196","1,545,038","91,129","1,729,875",-1%,53.5,"$46,221 ","$142,052 ",-1%,958258,2235728,627210,"3,120,710","557,122","133,610","9,124","63,237","1,581","69,422","38,921","1,280,096","222,483","21,941","3,782,556","1,528,186","91,129","1,726,452",55,"$46,487 ","$142,171 ",918299,2148606,715651,"3,093,370","547,572","132,011","9,029","62,358","1,563","68,664","38,497","1,267,122","218,888","21,605","3,850,146","1,557,687","91,079","1,732,849",-1%,52.3,"$45,051 ","$146,536 ",-1%,1001454,2264810,583882,"3,147,663","563,265","130,576","8,841","61,714","1,302","67,361","37,980","1,293,712","224,089","20,973","3,914,033","1,536,559","81,252","1,729,875","1,052,330","492,708","331,229","463,553","157,267","50,466","20,284","22,522","7,009","1,726,452","1,040,869","487,317","327,234","458,126","155,921","50,064","20,156","22,382","6,986","1,732,849","1,062,885","494,802","304,322","488,044","173,381","53,165","20,603","18,382","4,988"
PORTLAND-AUBURN (500),"63,917","253,665","40,674","20,782","43,902","16,625","31,438","29,437","27,560","27,120","27,452","31,350","36,261","39,379","38,167","35,048","27,206","28,569","29,748","27,660","27,502","28,274","32,419","37,373","41,204","40,669","37,020","28,974","$63,191 ","$61,463 ","$64,722 ","$67,039 ","$67,422 ","$66,907 ",956,793,839,764,688,634,676,"1,103","1,486","2,031","1,099",515,"1,094",482,375,44.6,22.7,31.7,"294,367","120,632","126,614","80,943","35,335","20,644","14,691","990,552","414,999","24,664","541,613",1%,54.3,"$50,393 ","$197,259 ",1%,223962,592464,174126,"944,964","14,490","14,355","3,789","11,731",315,"15,263","3,941","401,103","4,292","3,568","996,078","417,273","24,664","544,675",56.1,"$50,680 ","$198,345 ",220922,569382,205774,"950,090","14,631","14,467","3,808","11,874",319,"15,356","3,988","403,374","4,279","3,590","987,618","413,809","24,678","538,915",0%,52.8,"$49,134 ","$202,598 ",0%,230871,600078,156669,"943,932","14,025","13,549","3,531","11,230",241,"14,659","3,637","401,311","3,824","3,149","942,703","383,576","20,761","541,613","294,367","120,632","44,955","105,108","72,411","35,472","14,551","17,181","4,689","544,675","295,517","121,756","44,677","104,815","72,924","35,891","14,827","17,591","4,792","538,915","294,594","119,215","41,732","103,373","84,382","30,636","14,322","15,819","4,330"
NEW YORK (501),"1,128,785","4,503,127","584,718","327,437","858,027","270,775","700,239","713,164","733,754","725,174","692,132","713,973","749,403","745,712","668,075","569,155","427,923","691,558","665,890","739,259","746,794","719,032","750,794","794,805","799,452","732,077","648,137","511,544","$84,643 ","$84,280 ","$89,508 ","$93,727 ","$94,256 ","$93,464 ","16,040","16,478","14,043","13,890","12,073","9,907","11,930","20,383","27,662","37,547","28,390","18,214","17,116","21,960","25,369",40.9,34.9,36,"4,084,339","3,710,551","567,829","172,024","948,643","507,636","441,007","21,281,562","7,794,890","461,207","8,362,719",3%,50.9,"$65,928 ","$407,583 ",3%,5342249,12932450,3006863,"14,493,496","3,995,884","4,803,392","196,680","2,111,320","29,404","454,778","1,406,880","5,525,588","1,400,991","659,730","21,883,707","8,024,291","461,207","8,518,570",52.4,"$66,193 ","$408,564 ",5437134,12883466,3563107,"14,860,874","4,134,014","4,959,825","203,413","2,186,176","30,405","468,825","1,456,047","5,665,111","1,453,782","683,509","20,852,971","7,631,053","463,698","8,322,385",2%,50.8,"$63,168 ","$415,034 ",2%,5337921,12782431,2732619,"14,282,839","3,904,475","4,615,159","189,418","2,021,776","26,157","428,306","1,348,788","5,447,768","1,366,286","624,885","20,177,227","7,348,041","405,808","8,362,719","4,084,339","3,710,551","139,188","302,982","620,564","926,261","701,199","1,117,106","277,039","8,518,570","4,175,519","3,848,772","142,491","309,158","631,587","943,324","714,572","1,147,089","287,298","8,322,385","4,024,076","3,606,977","137,675","273,444","612,271","881,343","713,764","1,139,716","265,863"
BINGHAMTON (502),"17,307","89,579","12,963","6,369","13,758","5,210","12,047","13,092","11,284","9,568","8,640","9,701","11,469","13,137","12,831","11,370","8,880","12,098","11,299","10,543","9,275","8,647","9,752","11,835","13,514","12,874","11,675","9,457","$55,235 ","$55,159 ","$57,933 ","$59,942 ","$60,365 ","$60,216 ",413,395,297,339,290,209,279,504,559,615,400,189,401,193,59,43.9,26.5,27.4,"97,361","42,557","28,002","14,250","14,747","8,245","6,502","343,409","139,918","14,003","167,920",-3%,54.6,"$46,103 ","$115,737 ",-3%,80411,201305,61693,"315,883","12,020","10,157",890,"8,082",144,"6,390","2,736","131,466","3,978","2,425","334,406","136,080","14,003","166,981",56,"$46,567 ","$116,113 ",76704,189933,67769,"307,647","11,684","9,884",865,"7,855",140,"6,215","2,681","127,840","3,870","2,358","350,182","142,851","13,895","168,698",-2%,53.3,"$44,948 ","$110,485 ",-2%,85886,205696,58600,"323,207","11,654","9,961",806,"8,087",111,"6,317","2,669","134,802","3,772","2,397","351,762","139,662","11,821","167,920","97,361","42,557","42,764","37,596","9,795","3,922","1,092","1,822",370,"166,981","94,806","41,274","41,492","36,685","9,570","3,837","1,082","1,777",363,"168,698","99,152","43,699","45,690","37,061","10,166","2,915","1,096","1,973",251
MACON (503),"28,974","174,671","21,054","10,003","18,471","7,645","23,853","24,600","23,396","22,145","20,784","21,003","23,063","23,712","21,629","18,953","14,402","23,734","22,624","22,208","20,896","20,045","20,565","22,593","23,760","22,608","20,305","16,290","$49,383 ","$51,009 ","$53,457 ","$53,862 ","$53,627 ","$53,257 ",859,858,799,635,591,411,547,846,"1,055","1,129",669,314,"1,069",228,143,41.4,32.6,35.3,"162,483","84,662","39,035","5,572","28,561","15,552","13,009","665,899","247,145","40,355","286,180",1%,51.6,"$38,385 ","$109,144 ",1%,176851,395999,93049,"381,320","262,682","26,325","2,204","9,664",619,"9,410","6,396","149,551","91,346","2,974","671,118","248,973","40,355","290,921",52.9,"$38,512 ","$110,721 ",172830,388428,109860,"385,603","263,012","26,809","2,237","9,965",642,"9,659","6,567","151,299","91,290","3,053","660,789","246,064","38,403","284,703",0%,51,"$38,986 ","$109,358 ",1%,182128,395083,83578,"379,412","261,213","24,787","1,968","8,903",569,"8,724","5,976","149,423","91,125","2,644","595,852","218,214","28,057","286,180","162,483","84,662","76,171","55,450","18,669","7,343","2,478","2,137",235,"290,921","163,322","85,651","75,633","56,224","19,202","7,386","2,475","2,162",240,"284,703","162,487","83,577","76,049","55,508","19,127","6,841","2,204","2,453",305
PHILADELPHIA (504),"409,130","1,584,841","295,144","162,967","394,182","131,142","279,752","283,306","270,904","252,586","238,485","255,503","279,200","290,794","267,416","228,638","170,734","277,028","268,894","270,973","259,230","248,483","268,358","295,586","309,324","288,855","253,606","197,629","$73,971 ","$71,702 ","$78,347 ","$82,755 ","$83,146 ","$82,474 ","6,684","6,966","6,476","6,287","5,582","4,848","5,923","9,478","12,055","16,290","11,196","6,936","7,520","7,056","6,675",41.8,32.9,33.7,"2,094,453","960,726","264,695","75,164","372,489","204,484","168,005","8,086,099","3,055,179","243,149","3,319,874",2%,51.8,"$59,267 ","$240,410 ",2%,2060967,4838275,1186857,"5,906,094","1,570,251","823,211","39,416","400,492","6,941","162,905","222,312","2,314,712","563,176","122,910","8,228,068","3,110,734","243,149","3,337,682",53.2,"$59,488 ","$240,167 ",2050716,4783241,1394111,"6,003,128","1,603,946","837,718","40,179","407,814","7,069","165,932","226,319","2,351,215","577,634","124,879","7,980,444","3,014,372","241,823","3,309,608",1%,51.3,"$57,567 ","$242,222 ",1%,2095687,4798377,1086380,"5,847,004","1,546,632","788,326","38,564","386,424","6,084","155,736","212,246","2,293,712","553,260","117,299","7,532,642","2,827,362","225,571","3,319,874","2,094,453","960,726","255,511","560,073","573,219","353,074","154,544","169,103","28,929","3,337,682","2,130,256","980,478","262,394","568,887","582,174","358,939","156,951","171,542","29,369","3,309,608","2,069,939","944,433","247,804","532,653","602,795","337,905","156,238","162,946","29,598"
