Area Name,2013 Q4 Total businesses,2013 Q4 Dept store sales,2013 Q4 Households with Net Asset Value Up to 25K,2013 Q4 Households with Net Asset Value 25K to 50K,2013 Q4 Households with Net Asset Value 50K to 75K,2013 Q4 Households with Net Asset Value 75K to 100K,2013 Q4 Households with Net Asset Value 100K to 250K,2013 Q4 Households with Net Asset Value 250K to 500K,2013 Q4 Households with Net Asset Value 500K to 750K,2013 Q4 Households with Net Asset Value 750K to 1M,2013 Q4 Households with Net Asset Value 1M to 2M,2013 Q4 Households with Net Asset Value 2M Plus,2013 Q4 Pop Age 0-4,2013 Q4 Pop Age 5-9 ,2013 Q4 Pop Age 10-14,2013 Q4 Pop Age 15-19 ,2013 Q4 Pop Age 20-24,2013 Q4 Pop Age 25-29 ,2013 Q4 Pop Age 30-34,2013 Q4 Pop Age 35-39 ,2013 Q4 Pop Age 40-44,2013 Q4 Pop Age 45-49 ,2013 Q4 Pop Age 50-54,2013 Q4 Pop Age 55-59 ,2013 Q4 Pop Age 60-64,2013 Q4 Pop Age 65-69,2013 Q4 Pop Age 70-74,2013 Q4 Pop Age 75-79,2013 Q4 Pop Age 80-84,2013 Q4 Pop Age 85+,2013 Q4 HHs Age 85+,2013 Q4 HHs Age 75-84,2013 Q4 HHs Age 65-74,2013 Q4 HHs Age 55-64,2013 Q4 HHs Age 45-54,2013 Q4 HHs Age 35-44,2013 Q4 HHs Age 25-34,2013 Q4 HHs Age 15-24 ,2013 Q4 Median HH Age,2013 Q4 Average HH Age,2013 Q4 White Pop Age 0-4,2013 Q4 White Pop Age 5-9,2013 Q4 White Pop Age 10-14,2013 Q4 White Pop Age 15-19,2013 Q4 White Pop Age 20-24,2013 Q4 White Pop Age 25-29,2013 Q4 White Pop Age 30-34,2013 Q4 White Pop Age 35-39,2013 Q4 White Pop Age 40-44,2013 Q4 White Pop Age 45-49,2013 Q4 White Pop Age 50-54,2013 Q4 White Pop Age 55-59,2013 Q4 White Pop Age 60-64,2013 Q4 White Pop Age 65-69,2013 Q4 White Pop Age 70-74,2013 Q4 White Pop Age 75-79,2013 Q4 White Pop Age 80-84,2013 Q4 White Pop Age 85+,2013 Q4 Black Pop Age 0-4,2013 Q4 Black Pop Age 5-9,2013 Q4 Black Pop Age 10-14,2013 Q4 Black Pop Age 15-19,2013 Q4 Black Pop Age 20-24,2013 Q4 Black Pop Age 25-29,2013 Q4 Black Pop Age 30-34,2013 Q4 Black Pop Age 35-39,2013 Q4 Black Pop Age 40-44,2013 Q4 Black Pop Age 45-49,2013 Q4 Black Pop Age 50-54,2013 Q4 Black Pop Age 55-59,2013 Q4 Black Pop Age 60-64,2013 Q4 Black Pop Age 65-69,2013 Q4 Black Pop Age 70-74,2013 Q4 Black Pop Age 75-79,2013 Q4 Black Pop Age 80-84,2013 Q4 Black Pop Age 85+,2013 Q4 Asian Pop Age 0-4,2013 Q4 Asian Pop Age 5-9,2013 Q4 Asian Pop Age 10-14,2013 Q4 Asian Pop Age 15-19,2013 Q4 Asian Pop Age 20-24,2013 Q4 Asian Pop Age 25-29,2013 Q4 Asian Pop Age 30-34,2013 Q4 Asian Pop Age 35-39,2013 Q4 Asian Pop Age 40-44,2013 Q4 Asian Pop Age 45-49,2013 Q4 Asian Pop Age 50-54,2013 Q4 Asian Pop Age 55-59,2013 Q4 Asian Pop Age 60-64,2013 Q4 Asian Pop Age 65-69,2013 Q4 Asian Pop Age 70-74,2013 Q4 Asian Pop Age 75-79,2013 Q4 Asian Pop Age 80-84,2013 Q4 Asian Pop Age 85+,2013 Q4 Hispanic Pop Age 0-4,2013 Q4 Hispanic Pop Age 5-9 ,2013 Q4 Hispanic Pop Age 10-14,2013 Q4 Hispanic Pop Age 15-19 ,2013 Q4 Hispanic Pop Age 20-24,2013 Q4 Hispanic Pop Age 25-29 ,2013 Q4 Hispanic Pop Age 30-34,2013 Q4 Hispanic Pop Age 35-39 ,2013 Q4 Hispanic Pop Age 40-44,2013 Q4 Hispanic Pop Age 45-49 ,2013 Q4 Hispanic Pop Age 50-54,2013 Q4 Hispanic Pop Age 55-59 ,2013 Q4 Hispanic Pop Age 60-64,2013 Q4 Hispanic Pop Age 65-69,2013 Q4 Hispanic Pop Age 70-74,2013 Q4 Hispanic Pop Age 75-79,2013 Q4 Hispanic Pop Age 80-84,2013 Q4 Hispanic Pop Age 85+,2013 Q4 No High School Diploma,2013 Q4 High School Diploma,2013 Q4 Some College,2013 Q4 Bachelors Degree,2013 Q4 Advanced Degree
BALTIMORE (512),"146,879","$4,842,194 ","599,355","101,500","55,736","45,641","140,744","80,886","32,053","18,711","27,286","35,044","187,504","181,649","185,555","193,476","201,257","204,857","194,955","181,640","193,585","215,243","224,263","206,180","180,314","137,539","96,886","70,202","52,963","60,399","38,992","80,531","141,842","219,400","236,178","194,141","177,763","48,109",51.3,51.3,"101,173","101,586","109,544","117,822","122,061","125,719","120,566","112,806","125,478","146,098","156,766","147,587","131,158","100,386","70,194","51,842","40,695","46,890","58,867","59,078","61,041","63,659","60,939","59,033","57,731","54,319","56,699","59,119","58,355","50,611","41,376","29,084","19,867","14,276","9,802","9,578","9,622","9,214","8,476","8,260","9,440","11,388","13,126","12,993","11,064","9,744","8,755","7,120","5,893","4,233","2,955","1,702",927,698,"16,230","12,896","10,804","10,986","14,187","16,057","14,977","11,974","9,540","7,431","5,415","3,673","2,540","1,488","1,013",800,536,456,"245,536","547,948","529,679","397,997","297,866"
FLINT-SAGNAW-BC (513),"54,551","$2,150,361 ","302,670","40,858","20,547","16,249","42,134","19,763","6,271","3,381","3,901","3,743","67,696","69,095","73,949","81,628","83,506","70,940","64,862","63,721","69,395","77,678","85,088","83,058","74,782","59,502","44,849","34,043","25,403","27,345","18,266","40,131","65,174","92,827","90,606","70,010","61,314","21,189",53.5,53,"51,759","54,918","59,840","66,196","66,671","58,512","54,588","54,091","60,403","68,997","75,690","73,966","66,081","52,547","39,831","30,302","22,608","23,731","10,275","10,606","11,016","12,853","11,049","8,842","8,185","8,148","7,960","7,938","8,709","8,041","6,910","4,654","3,233","2,423","1,648","1,413",690,770,711,748,"1,017",995,895,844,789,658,593,589,501,379,273,144,91,48,"5,191","4,807","4,691","4,848","3,649","2,917","2,820","2,719","2,460","2,364","2,185","1,874","1,527",996,705,590,403,271,"96,029","277,931","262,312","93,105","51,289"
BUFFALO (514),"72,032","$2,859,939 ","396,545","63,275","31,777","26,285","69,390","33,735","11,150","6,094","7,822","8,527","90,245","89,277","95,696","106,702","114,129","104,552","92,220","86,006","96,655","110,491","122,124","117,849","103,669","80,160","59,382","46,492","37,735","44,512","29,821","57,767","88,957","132,788","131,369","97,345","88,480","28,073",53.6,53.2,"66,970","71,249","78,818","88,552","92,035","85,026","76,123","73,037","84,771","98,469","109,925","106,958","94,300","72,757","53,954","42,655","35,087","41,050","11,298","11,499","12,081","13,881","13,659","11,634","10,461","9,639","9,595","10,237","10,574","9,188","7,083","4,916","3,726","2,846","2,010","1,866","2,089","1,951","1,852","2,426","3,776","3,775","2,931","2,203","1,868","1,514","1,288","1,114","1,071",745,480,294,171,128,"7,417","6,702","6,357","6,864","6,231","5,211","4,605","4,134","3,894","3,494","2,983","2,208","1,588",979,728,592,378,294,"125,644","369,037","326,470","157,156","123,540"
CINCINNATI (515),"105,186","$4,214,627 ","558,429","82,884","42,118","34,801","92,728","47,612","16,381","9,645","12,345","14,729","153,037","157,016","160,650","160,167","155,229","150,831","148,832","144,023","152,694","164,806","172,922","161,346","139,729","103,491","74,712","55,569","41,627","43,936","29,712","66,321","112,553","178,785","189,334","157,865","137,845","39,257",51.4,51.4,"119,052","125,106","131,922","133,127","125,402","125,226","125,053","121,933","131,985","144,239","152,605","143,283","124,692","91,705","66,008","49,209","36,901","37,698","22,039","21,896","21,130","21,644","19,274","18,790","18,241","17,123","16,694","17,495","17,802","15,793","12,280","8,359","5,790","4,138","2,972","3,003","3,457","3,512","2,906","2,563","2,850","3,860","4,387","4,425","3,749","3,046","2,449","1,938","1,602","1,144",740,477,283,172,"8,954","7,095","5,171","4,831","5,890","6,159","5,515","4,637","3,623","2,900","1,959","1,463",963,612,424,279,208,181,"197,508","505,260","421,488","272,324","157,938"
ERIE (516),"20,240","$914,554 ","104,751","15,689","7,970","6,166","15,375","6,415","1,888","1,069","1,234","1,397","24,097","23,816","25,116","28,662","29,801","25,973","23,120","22,180","24,273","26,979","29,825","29,968","26,866","20,758","15,286","11,536","9,217","10,793","7,172","14,028","22,582","33,437","31,503","24,211","21,707","7,314",53.8,53.2,"19,947","20,494","22,024","25,486","25,771","23,475","20,996","20,290","22,667","25,479","28,305","28,569","25,664","19,851","14,672","11,127","8,939","10,319","2,153","2,018","1,941","2,383","2,061","1,610","1,554","1,445","1,312","1,273","1,295","1,171",852,486,317,241,183,169,295,262,242,353,429,369,338,315,242,214,213,171,175,102,54,42,22,12,"1,496","1,329","1,194","1,257",951,847,769,687,605,556,428,340,211,161,98,62,39,41,"31,284","119,237","65,835","38,172","22,246"
CHARLOTTE (517),"150,506","$5,660,736 ","735,497","113,976","57,880","45,792","116,839","55,538","19,670","10,798","13,773","16,832","201,116","205,538","210,629","208,241","198,779","195,351","200,897","209,694","223,952","226,315","217,598","195,837","175,645","138,281","99,454","70,935","49,205","49,190","32,476","80,363","147,964","217,899","246,684","229,406","181,364","50,439",50.4,50.7,"132,336","140,251","145,264","143,256","134,796","140,608","145,877","154,214","169,270","176,107","172,401","157,284","144,083","115,360","83,174","58,987","40,938","39,273","46,962","48,459","51,156","52,647","44,263","43,137","46,019","47,529","47,606","44,542","40,436","34,562","27,824","18,957","12,278","8,199","5,441","5,269","6,813","6,667","6,165","5,825","5,765","7,579","8,009","7,641","6,690","5,440","4,451","3,505","2,720","1,852","1,092",630,375,246,"32,937","28,719","22,994","20,320","21,886","26,451","27,313","23,330","17,814","13,091","8,729","5,396","3,589","2,328","1,548",944,575,440,"328,324","563,041","607,462","380,876","172,651"
GREENSBRO-HP-WS (518),"83,773","$3,529,662 ","472,205","63,210","31,347","24,454","61,468","28,605","9,330","5,259","7,038","8,841","109,547","110,987","115,792","119,310","117,437","108,023","105,328","108,676","119,379","126,435","127,792","119,976","109,668","87,978","65,370","48,643","35,307","36,591","24,677","57,202","97,178","137,211","144,102","122,888","98,688","29,811",52.3,52.2,"70,250","75,202","80,163","82,010","76,663","76,388","76,390","80,247","90,650","98,770","101,786","96,982","90,664","74,032","55,398","41,452","30,026","30,055","25,584","25,993","27,593","30,624","29,656","26,352","25,369","25,042","25,752","25,174","23,906","21,160","17,445","12,275","8,502","5,859","4,121","4,045","2,903","3,002","2,976","2,955","2,692","3,082","3,091","3,195","2,903","2,448","2,026","1,636","1,252",858,535,294,165,101,"21,395","19,362","15,239","12,748","13,354","14,822","15,898","13,443","9,809","7,007","4,784","2,783","1,816","1,146",752,433,291,209,"214,733","363,976","338,921","192,753","88,783"
CHARLESTON  SC (519),"42,737","$1,501,590 ","196,493","33,414","16,359","13,282","34,242","18,016","6,199","3,420","4,823","5,958","57,198","54,143","52,439","53,195","59,667","63,147","60,038","53,792","53,351","56,441","57,876","55,449","51,837","41,700","29,663","20,241","13,427","13,510","9,069","22,709","44,680","63,453","64,044","56,790","56,347","15,114",50.9,50.8,"32,722","31,168","30,603","31,070","37,182","43,065","41,247","37,338","36,844","38,625","39,584","37,798","36,430","29,881","21,096","14,420","9,405","9,198","19,644","19,356","19,208","20,306","19,121","17,823","16,787","14,798","15,272","16,766","17,284","16,609","14,262","10,345","7,071","4,838","3,241","3,273",732,792,697,720,907,"1,058","1,197","1,266","1,086","1,001",908,822,695,539,355,194,100,61,"5,465","4,041","2,912","3,164","4,881","5,405","4,571","3,457","2,561","1,987","1,418",958,640,437,263,175,99,77,"76,679","164,613","166,014","105,353","57,813"
PORTLAND-AUBURN (500),"63,917","$1,877,350 ","253,665","40,674","20,782","16,625","43,902","21,041","6,661","3,330","4,267","4,052","52,339","53,311","57,126","61,186","58,006","55,220","54,622","55,726","63,769","73,634","80,583","78,836","72,068","56,180","40,219","29,875","22,621","25,231","16,850","35,525","60,442","88,845","85,978","63,149","49,625","14,585",54.3,53.8,"46,141","48,663","53,231","57,925","52,370","51,898","52,316","53,516","61,859","72,005","79,102","77,637","70,807","54,663","38,648","28,782","21,762","23,639","1,898","1,710","1,555","1,425","1,211","1,075",934,979,888,816,668,469,328,211,155,68,48,52,747,903,995,"1,022",900,965,954,"1,029",940,762,747,595,468,281,202,125,60,36,"1,697","1,507","1,404","1,546","1,237","1,163","1,010",888,880,841,677,496,322,238,153,139,87,70,"63,912","232,809","202,076","133,217","76,570"
NEW YORK (501),"1,128,785","$23,692,357 ","4,503,127","584,718","327,437","270,775","858,027","503,000","206,582","119,610","178,101","243,513","1,352,297","1,303,807","1,320,016","1,366,129","1,404,722","1,473,013","1,471,968","1,411,164","1,464,767","1,544,208","1,545,164","1,400,152","1,217,292","939,467","689,255","516,550","399,222","462,369","284,332","577,011","953,060","1,427,142","1,587,813","1,413,245","1,233,577","318,710",50.9,51.3,"796,725","819,088","854,626","890,193","887,671","944,419","958,273","927,223","991,225","1,074,423","1,102,338","1,021,367","902,269","697,725","518,106","402,347","323,565","381,913","260,230","267,315","284,874","315,780","307,319","288,436","281,287","275,118","290,409","300,274","282,629","236,668","192,217","143,547","102,640","70,856","48,295","47,990","130,217","127,927","123,007","123,991","139,400","178,461","196,281","189,776","172,426","161,895","151,221","127,775","103,138","70,653","47,561","30,559","19,373","17,659","394,852","366,614","359,470","394,296","406,122","417,121","405,305","374,386","357,745","328,815","273,140","213,273","167,650","118,885","89,072","62,629","41,354","32,663","2,212,055","3,835,558","3,211,240","3,092,809","2,182,929"
