"","date","Sales","Traffic"
"1","1/1/2012",383341.11,3184
"2","1/2/2012",538794.13,6266
"3","1/3/2012",410709.2,3909
"4","1/4/2012",417879.77,3924
"5","1/5/2012",392112.56,3943
"6","1/6/2012",477559.49,4303
"7","1/7/2012",626444.19,6428
"8","1/8/2012",496183.12,5727
"9","1/9/2012",395401.24,5093
"10","1/10/2012",354047.88,3452
"11","1/11/2012",386052.33,3534
"12","1/12/2012",430158.8,4682
"13","1/13/2012",481953.49,5461
"14","1/14/2012",667708.46,7969
"15","1/15/2012",523027.52,5146
"16","1/16/2012",537373.03,5918
"17","1/17/2012",378829.01,3479
"18","1/18/2012",322626.62,3674
"19","1/19/2012",368410.72,3536
"20","1/20/2012",402732.87,4658
"21","1/21/2012",596991.94,7568
"22","1/22/2012",552785.99,5244
"23","1/23/2012",422488.24,4299
"24","1/24/2012",404809.13,3886
"25","1/25/2012",378856.9,3869
"26","1/26/2012",402517.71,3826
"27","1/27/2012",467952.65,4967
"28","1/28/2012",732004.21,7825
"29","1/29/2012",609358.48,5753
"30","1/30/2012",472240.08,4308
"31","1/31/2012",731219.95,6092
"32","2/1/2012",635403.34,6541
"33","2/2/2012",732648.82,7540
"34","2/3/2012",804574.11,8834
"35","2/4/2012",1358878.36,15208
"36","2/5/2012",919711.25,9090
"37","2/6/2012",742182.83,8726
"38","2/7/2012",697893.87,7451
"39","2/8/2012",763771.18,8174
"40","2/9/2012",711117.6,7206
"41","2/10/2012",678919.26,8724
"42","2/11/2012",1206765.78,14204
"43","2/12/2012",977269.2,11699
"44","2/13/2012",731683.76,8154
"45","2/14/2012",798194.54,7328
"46","2/15/2012",696561.17,7790
"47","2/16/2012",797035.1,7357
"48","2/17/2012",704864.89,8276
"49","2/18/2012",1046955.65,12737
"50","2/19/2012",1142876.27,12480
"51","2/20/2012",931109.56,10220
"52","2/21/2012",751990.68,6613
"53","2/22/2012",784548.55,6936
"54","2/23/2012",779564.37,6898
"55","2/24/2012",950300.46,8457
"56","2/25/2012",1061215.35,14518
"57","2/26/2012",973134.9,10512
"58","2/27/2012",696639.77,7322
"59","2/28/2012",749804.21,7064
"60","2/29/2012",910307.29,7466
"61","3/1/2012",690998.9,7912
"62","3/2/2012",806310.17,8275
"63","3/3/2012",1171827.99,13563
"64","3/4/2012",844821.35,10185
"65","3/5/2012",731821.39,7241
"66","3/6/2012",739960.05,8698
"67","3/7/2012",728397.13,7675
"68","3/8/2012",709599.97,6777
"69","3/9/2012",842516.39,7239
"70","3/10/2012",1209326.6,13392
"71","3/11/2012",1011933.72,9633
"72","3/12/2012",932011.8,8241
"73","3/13/2012",777780.37,7316
"74","3/14/2012",839241.95,7487
"75","3/15/2012",842295.18,8088
"76","3/16/2012",1782795.09,16513
"77","3/17/2012",2261845.29,21563
"78","3/18/2012",1830854.36,17146
"79","3/19/2012",1543446.77,14033
"80","3/20/2012",1512233,12209
"81","3/21/2012",1417470.06,12317
"82","3/22/2012",1518266.9,12475
"83","3/23/2012",1601502.9,15140
"84","3/24/2012",2198990.61,21793
"85","3/25/2012",1893183.19,16911
"86","3/26/2012",1633123.08,13823
"87","3/27/2012",1474954.28,13088
"88","3/28/2012",1481890.81,11667
"89","3/29/2012",1481367.55,11842
"90","3/30/2012",1748693.75,14812
"91","3/31/2012",2441854.96,21907
"92","4/1/2012",1886766.64,16690
"93","4/2/2012",1400193.31,12667
"94","4/3/2012",1364114.77,11990
"95","4/4/2012",1350157.85,11951
"96","4/5/2012",1354294.7,12117
"97","4/6/2012",1929930.09,17929
"98","4/7/2012",2194944.47,20149
"99","4/9/2012",1545835.76,14684
"100","4/10/2012",1445764.12,12607
"101","4/11/2012",1494049.81,12063
"102","4/12/2012",1455454.41,12456
"103","4/13/2012",1640637.72,14450
"104","4/14/2012",2096628.71,21367
"105","4/15/2012",1864588.69,16954
"106","4/16/2012",1369361.92,12817
"107","4/17/2012",1603623.59,12240
"108","4/18/2012",1411749.94,11247
"109","4/19/2012",1515707.68,11209
"110","4/20/2012",1384935.68,13281
"111","4/21/2012",2159573.53,20432
"112","4/22/2012",1695836.93,14647
"113","4/23/2012",1367567.11,12214
"114","4/24/2012",1511670.65,11378
"115","4/25/2012",1280492,10439
"116","4/26/2012",1271071.38,11395
"117","4/27/2012",1426413.47,13036
"118","4/28/2012",2137571.07,19443
"119","4/29/2012",1840427.73,14720
"120","4/30/2012",1791895.3,13620
"121","5/1/2012",1272178.48,12372
"122","5/2/2012",1291468.35,10986
"123","5/3/2012",1278130.42,11560
"124","5/4/2012",1566941.07,13778
"125","5/5/2012",2074392.08,19026
"126","5/6/2012",1877298.19,14926
"127","5/7/2012",1482768.13,12387
"128","5/8/2012",1449644.1,11814
"129","5/9/2012",1411538.53,11671
"130","5/10/2012",1376549.15,11732
"131","5/11/2012",1516812.64,14147
"132","5/12/2012",2247779.72,21953
"133","5/13/2012",1645960.76,13279
"134","5/14/2012",1480827.98,12860
"135","5/15/2012",1389331.1,12715
"136","5/16/2012",1388040.66,11685
"137","5/17/2012",1371092.27,11617
"138","5/18/2012",1555712.37,13654
"139","5/19/2012",2054325.84,19552
"140","5/20/2012",1785413.33,14137
"141","5/21/2012",1466680.42,12262
"142","5/22/2012",1312258.77,11870
"143","5/23/2012",1272659.44,11054
"144","5/24/2012",1348442.44,11991
"145","5/25/2012",2012564.44,19014
"146","5/26/2012",2553282.06,23563
"147","5/27/2012",2060236.86,16987
"148","5/28/2012",2680687.88,23940
"149","5/29/2012",1710777.59,11933
"150","5/30/2012",1749021.83,12203
"151","5/31/2012",1858010.2,12543
"152","6/1/2012",1676503.38,15412
"153","6/2/2012",1984765.26,19923
"154","6/3/2012",1735855.42,14165
